pair_id,pair_type,beta,Delta_policy,Delta_ref,u,sigmoid_beta_u,gradient_scale,near_zero,saturated
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.05,0.01144854724407196,0.01144854724407196,0.0,0.5,0.025,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.1,0.01144854724407196,0.01144854724407196,0.0,0.5,0.05,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.2,0.01144854724407196,0.01144854724407196,0.0,0.5,0.1,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.5,0.01144854724407196,0.01144854724407196,0.0,0.5,0.25,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,1.0,0.01144854724407196,0.01144854724407196,0.0,0.5,0.5,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,2.0,0.01144854724407196,0.01144854724407196,0.0,0.5,1.0,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,5.0,0.01144854724407196,0.01144854724407196,0.0,0.5,2.5,True,False
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,10.0,0.01144854724407196,0.01144854724407196,0.0,0.5,5.0,True,False
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.05,0.019627079367637634,0.019627079367637634,0.0,0.5,0.025,True,False
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.1,0.019627079367637634,0.019627079367637634,0.0,0.5,0.05,True,False
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.2,0.019627079367637634,0.019627079367637634,0.0,0.5,0.1,True,False
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.5,0.019627079367637634,0.019627079367637634,0.0,0.5,0.25,True,False
