pair_id,pair_type,corruption_type,affected_time_span_exists,affected_region_exists,affected_mask_exists,affected_time_span,affected_region,affected_mask_path,localdpo_complete_spatial_mask,current_localdpo_level
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,background_drift_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local/affected_mask.png,True,spatial_region
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local/affected_mask.png,True,spatial_region
protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,object_deformation_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local/affected_mask.png,True,spatial_region
protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,object_identity_change_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local/affected_mask.png,True,spatial_region
protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze,local_corruption,partial_freeze,True,True,True,"{'future_end_index': 75, 'future_start_index': 22, 'raw_frame_end': 80, 'raw_frame_start': 27}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze/affected_mask.png,True,spatial_region
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,physical_event_local_failure,True,True,True,"{'future_end_index': 57, 'future_start_index': 19, 'raw_frame_end': 62, 'raw_frame_start': 24}","{'x0': 249, 'x1': 599, 'y0': 172, 'y1': 345}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure/affected_mask.png,True,spatial_region
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,background_drift_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local/affected_mask.png,True,spatial_region
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local/affected_mask.png,True,spatial_region
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,object_deformation_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local/affected_mask.png,True,spatial_region
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,object_identity_change_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local/affected_mask.png,True,spatial_region
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,partial_freeze,True,True,True,"{'future_end_index': 75, 'future_start_index': 22, 'raw_frame_end': 80, 'raw_frame_start': 27}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze/affected_mask.png,True,spatial_region
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,physical_event_local_failure,True,True,True,"{'future_end_index': 57, 'future_start_index': 19, 'raw_frame_end': 62, 'raw_frame_start': 24}","{'x0': 249, 'x1': 599, 'y0': 172, 'y1': 345}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure/affected_mask.png,True,spatial_region
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,background_drift_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local/affected_mask.png,True,spatial_region
protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local,local_corruption,object_identity_change_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 282, 'x1': 549, 'y0': 144, 'y1': 336}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local/affected_mask.png,True,spatial_region
protocol_v1_A_022_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,background_drift_local,True,True,True,"{'future_end_index': 75, 'future_start_index': 0, 'raw_frame_end': 80, 'raw_frame_start': 5}","{'x0': 0, 'x1': 299, 'y0': 0, 'y1': 480}",local_assets/dpo_preference_protocol_v1/local_corruptions/protocol_v1_A_022_02202_collision_orbit_right_64_seed41202_background_drift_local/affected_mask.png,True,spatial_region
