subset,pair_id,pair_type,corruption_type,Delta_ref,reward_margin,reference_relative_margin,visual_valid,medium_hard,winner_source,loser_source
d0_one_pair_typeB,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,0.11708655208349228,0.33677804836154723,0.0,True,True,clean_gt,medium_hard_rollout
d1_five_typeB,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,0.11708655208349228,0.33677804836154723,0.0,True,True,clean_gt,medium_hard_rollout
d1_five_typeB,protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change,0.10009658336639404,0.30518612452173055,0.0,True,True,clean_gt,medium_hard_rollout
d1_five_typeB,protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change,0.09552425891160965,0.30518612452173055,0.0,True,True,clean_gt,medium_hard_rollout
d1_five_typeB,protocol_v1_B_015_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change,0.09400106966495514,0.30518612452173055,0.0,True,True,clean_gt,medium_hard_rollout
d1_five_typeB,protocol_v1_B_010_prefix5_anchored_d744c2d6f264ba_object_deformation_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,0.08626076579093933,0.33677804836154723,0.0,True,True,clean_gt,medium_hard_rollout
d2_five_typeA,protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.028059273958206177,0.26,0.0,True,True,clean_gt,local_corruption
d2_five_typeA,protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,local_corruption,object_identity_change_local,0.027669377624988556,0.19999999999999998,0.0,True,True,clean_gt,local_corruption
d2_five_typeA,protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,partial_freeze,0.027131497859954834,0.22,0.0,True,True,clean_gt,local_corruption
d2_five_typeA,protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.025608859956264496,0.22,0.0,True,True,clean_gt,local_corruption
d2_five_typeA,protocol_v1_A_050_04204_containment_orbit_left_44_seed43204_background_drift_local,local_corruption,background_drift_local,0.02390124648809433,0.26,0.0,True,True,clean_gt,local_corruption
d3_mixed8,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,0.11708655208349228,0.33677804836154723,0.0,True,True,clean_gt,medium_hard_rollout
d3_mixed8,protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change,0.10009658336639404,0.30518612452173055,0.0,True,True,clean_gt,medium_hard_rollout
d3_mixed8,protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change,0.09552425891160965,0.30518612452173055,0.0,True,True,clean_gt,medium_hard_rollout
d3_mixed8,protocol_v1_B_015_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_stageA_final,gt_vs_medium_hard_rollout,event_missing;object_duplicate;object_identity_change,0.09400106966495514,0.30518612452173055,0.0,True,True,clean_gt,medium_hard_rollout
d3_mixed8,protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.028059273958206177,0.26,0.0,True,True,clean_gt,local_corruption
d3_mixed8,protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,local_corruption,object_identity_change_local,0.027669377624988556,0.19999999999999998,0.0,True,True,clean_gt,local_corruption
d3_mixed8,protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,partial_freeze,0.027131497859954834,0.22,0.0,True,True,clean_gt,local_corruption
d3_mixed8,protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.025608859956264496,0.22,0.0,True,True,clean_gt,local_corruption
