elapsed_sec,index,latent_shape,pair_id
62.36245274543762,0,"(16, 21, 60, 104)",v6b_GT_C_001_01014_drop_orbit_left_72_seed40014
13.090775489807129,1,"(16, 21, 60, 104)",v6b_GT_C_009_01032_drop_orbit_left_72_seed40032
13.646467924118042,2,"(16, 21, 60, 104)",v6b_GT_C_008_01029_drop_orbit_left_72_seed40029
53.95874738693237,3,"(16, 21, 60, 104)",v6b_GT_C_012_02284_collision_orbit_right_64_seed41284
12.998927593231201,4,"(16, 21, 60, 104)",v6b_GT_C_011_02276_collision_orbit_right_64_seed41276
53.244468688964844,5,"(16, 21, 60, 104)",v6b_GT_C_014_03437_roll_orbit_right_60_seed42437
13.025131464004517,6,"(16, 21, 60, 104)",v6b_GT_C_013_03435_roll_orbit_right_60_seed42435
13.293773174285889,7,"(16, 21, 60, 104)",v6b_GT_C_003_03418_roll_orbit_right_60_seed42418
54.183971643447876,8,"(16, 21, 60, 104)",v6b_GT_C_004_04204_containment_orbit_left_44_seed43204
13.121004343032837,9,"(16, 21, 60, 104)",v6b_GT_C_007_04228_containment_orbit_left_44_seed43228
