pair_id,cache_status,cache_tensor_path,sha256,E_ref_winner_cached,timestep,timestep_index,actual_sigma,used_window_frames,prefix_len,prediction_start_frame,latent_loss_indices,target_shape,noisy_latent_shape,context_shapes,y_shape,dit_cond_shapes,finite,seconds,allocated_gb,reserved_gb,max_allocated_gb,max_reserved_gb,error_reason
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/000_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.pt,aa02c0a531e6f09da1cf1c0defc3766b28ff45b913fd1af61396facc3b40e0a5,0.7446877360343933,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [114, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,113.38757014274597,35.17017364501953,51.12109375,46.21381855010986,51.12109375,
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/001_v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.pt,b4faecb0b087d05cf223658e394c796be8a15b5d02acc2afecfbf2909455eb73,0.8939808011054993,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [114, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,59.02522253990173,35.17017364501953,49.2734375,46.21381855010986,51.12109375,
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/002_v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.pt,87090da9850b8d73ad4970bc31e46584125474d71512724fb024eac2cc1116b4,0.8004783987998962,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [114, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,57.135207414627075,35.17017364501953,49.2734375,46.21381855010986,51.12109375,
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/003_v6b_GT_C_012_02284_collision_orbit_right_64_seed41284.pt,512a042dc238d9a9d4208ace9611097be31ab6bb01bccf3e59bdafdc66a1fe8d,0.8453183770179749,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [113, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,111.20127296447754,35.17017364501953,51.12109375,46.21454906463623,51.12109375,
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/004_v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.pt,6b56958f94988b191fa27cacb6807e1fd3d3b53c1f2f0d5c711ee53ee7a6b03e,0.7487576007843018,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [113, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,60.27349519729614,35.17017364501953,49.2734375,46.21454906463623,51.12109375,
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/005_v6b_GT_C_014_03437_roll_orbit_right_60_seed42437.pt,0d85044b52ec96ef3b032ca415cebbdc047212d6615eef57139ef2498eca2375,0.7926092147827148,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [111, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,108.57969260215759,35.17017364501953,51.12109375,46.21454906463623,51.12109375,
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/006_v6b_GT_C_013_03435_roll_orbit_right_60_seed42435.pt,ecf5d25ab7b50a3c81d8f379c73d2087e452fa160e0e194d277685bafc9ac4f5,0.7354840040206909,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [111, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,60.88779973983765,35.17017364501953,47.837890625,46.21454906463623,51.12109375,
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/007_v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.pt,5c5ee1d50ee486fe0baedfd3c26493795b0480b0fe1cbf51815beec84d21e54c,0.7117257118225098,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [111, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,59.92458462715149,35.17017364501953,47.837890625,46.21454906463623,51.12109375,
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/008_v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.pt,56d0b08fd7cf36bb32874b1eb87df861d52db04e803b1969abe3f3625cb53825,0.9873882532119751,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [112, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,113.48327875137329,35.17017364501953,51.16796875,46.21454906463623,51.16796875,
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,PASS,local_assets/dpo_objective_cache_v8j/gt_c_10_window49/009_v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.pt,468c3eb5145f85d523eeb35882b2913c62be8316dff998cc2d1f80050c619857,0.7728785276412964,349.5545349121094,949,0.34955453872680664,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]","[{""shape"": [112, 4096], ""dtype"": ""torch.bfloat16""}]","[20, 13, 60, 104]","{""c2ws_plucker_emb"": [{""shape"": [1, 384, 13, 60, 104], ""dtype"": ""torch.float32""}]}",True,62.35073781013489,35.17017364501953,47.837890625,46.21454906463623,51.16796875,
