pair_id,cache_status,cache_tensor_path,sha256,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,timestep,timestep_index,actual_sigma,same_seed_noise_id,used_window_frames,prefix_len,prediction_start_frame,winner_latent_loss_indices,loser_latent_loss_indices,winner_target_shape,loser_target_shape,finite,reviewed,seconds,allocated_gb,reserved_gb,max_allocated_gb,max_reserved_gb,error_reason
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/000_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.pt,5cc42fae0e53be7d9f183f88037b092499f731fc07809982fc67a796b2be8374,0.7446877360343933,0.8124614953994751,0.06777375936508179,349.5545349121094,949,0.34955453872680664,1234,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,174.75533843040466,35.17017364501953,51.12109375,46.21381855010986,51.12109375,
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/001_v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.pt,c17a4c2eb637d225539a0a4ae6774d989f2e21c1c25ef330f570afd5eef8d082,0.8939808011054993,0.796614944934845,-0.0973658561706543,349.5545349121094,949,0.34955453872680664,2231,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,107.55798268318176,35.17017364501953,47.837890625,46.21381855010986,51.12109375,
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/002_v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.pt,6c11fbcada5b4a795895a5169e415792d096e230fa08c4e51b02243067d223c9,0.8004783987998962,0.7849302291870117,-0.015548169612884521,349.5545349121094,949,0.34955453872680664,3228,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,100.26588702201843,35.17017364501953,47.837890625,46.21381855010986,51.12109375,
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/003_v6b_GT_C_012_02284_collision_orbit_right_64_seed41284.pt,d55c8caec00b8d66abefd8ecd817d039cb07ff3b6b511b8c28c9b3d452ae2256,0.8453183770179749,1.0086575746536255,0.16333919763565063,349.5545349121094,949,0.34955453872680664,4225,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,142.70048213005066,35.17017364501953,51.169921875,46.21454906463623,51.169921875,
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/004_v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.pt,a10af6ed6e903cd86c96a677997a877f6a5a1bd5fb83101495d4cdbb537eff91,0.7487576007843018,1.0418808460235596,0.2931232452392578,349.5545349121094,949,0.34955453872680664,5222,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,103.65022778511047,35.17017364501953,47.837890625,46.21454906463623,51.169921875,
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/005_v6b_GT_C_014_03437_roll_orbit_right_60_seed42437.pt,d5431c493d0fb28fcf0fe01fb55790947c0ce9fb82b498a568d60392783246cc,0.7926092147827148,0.9630956053733826,0.17048639059066772,349.5545349121094,949,0.34955453872680664,6219,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,152.27032256126404,35.17017364501953,51.138671875,46.21454906463623,51.169921875,
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/006_v6b_GT_C_013_03435_roll_orbit_right_60_seed42435.pt,c058fdd639c8a83f5aba8d50a21181c3589f607a7ba93b60ff1388ec3f72737d,0.7354840040206909,0.8659946322441101,0.1305106282234192,349.5545349121094,949,0.34955453872680664,7216,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,101.58988165855408,35.17017364501953,47.837890625,46.21454906463623,51.169921875,
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/007_v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.pt,89cd5a84e4ad75104872af0d9039e74f9a884fd55a1cb0097ad373335dcd9d3b,0.7117257118225098,0.8390957713127136,0.12737005949020386,349.5545349121094,949,0.34955453872680664,8213,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,95.4875545501709,35.17017364501953,47.837890625,46.21454906463623,51.169921875,
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/008_v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.pt,71245286055e546f630c55d5a915722202c1e12871b5073d897a387fbd73fc86,0.9873882532119751,1.1407641172409058,0.15337586402893066,349.5545349121094,949,0.34955453872680664,9210,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,150.74025964736938,35.17017364501953,51.138671875,46.21454906463623,51.169921875,
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,PASS,local_assets/dpo_pair_cache_v8m/gt_c_10_window49/009_v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.pt,407e09272d72c3b1aa5273da82c38868021f3a3a57edb4a0ac6fb05e5cf56a44,0.7728785276412964,0.8128641247749329,0.039985597133636475,349.5545349121094,949,0.34955453872680664,10207,49,5,5,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[16, 13, 60, 104]","[16, 13, 60, 104]",True,True,105.9785361289978,35.17017364501953,47.837890625,46.21454906463623,51.169921875,
