step,pair_id,scope,objective,used_window_frames,timestep,actual_sigma,actual_sigma_bin,pair_weight,win_gap,lose_gap,g_w,g_l,g_l_clip,loser_dominance,health_flags,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,lambda_pref,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason
0,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-8.684396743774414e-05,5.412101745605469e-05,-0.00011095741690214245,6.623647407910285e-05,6.623647407910285e-05,0.3738078875761778,WINNER_IMPROVES;LOSER_DEGRADES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7826714515686035,0.8171147704124451,0.03444331884384155,0.7826349139213562,0.8171148896217346,0.03447997570037842,5.030632019042969e-05,8.684396743774414e-05,5.4001808166503906e-05,5.412101745605469e-05,0.0001043081283569336,0.00014096498489379883,0.48228571428571426,0.6160676532769556,0.0001043081283569336,0.00014096498489379883,0.00014096498489379883,0.0,1.0,0.005,0.6931450366973877,0.7860329151153564,0.13173423175367197,0.0024200862852827502,14.61100145976656,1e-06,34.9678750038147,56.896484375,56.521642208099365,95.81340789794922,True,PASS,
1,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,9.113550186157227e-05,-9.721517562866211e-05,0.00012383319556404971,-0.00013100038961601804,-0.00013100038961601804,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7360324859619141,0.7421234250068665,0.006090939044952393,0.7359992861747742,0.7420497536659241,0.006050467491149902,-0.00012433528900146484,-9.113550186157227e-05,-2.3543834686279297e-05,-9.721517562866211e-05,-0.00014787912368774414,-0.00018835067749023438,0.0,0.0,-0.00014787912368774414,-0.00018835067749023438,-0.00018835067749023438,0.0,1.0,0.005,0.6931535005569458,0.7393675446510315,0.1460789406419618,0.002292281819043397,14.611024914170658,1e-06,34.96790552139282,56.896484375,56.57050180435181,92.69659614562988,True,PASS,
2,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00012540817260742188,4.583597183227539e-05,-0.00017289083055187237,6.27116688868214e-05,6.27116688868214e-05,0.2661757368288855,WINNER_IMPROVES;LOSER_DEGRADES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7251518368721008,0.730865478515625,0.00571364164352417,0.725297749042511,0.7309231162071228,0.005625367164611816,0.0002713203430175781,0.00012540817260742188,-1.1801719665527344e-05,4.583597183227539e-05,0.0002595186233520508,0.00017124414443969727,1.0,0.7323355377654021,0.0002595186233520508,0.00017124414443969727,0.00017124414443969727,0.0,1.0,0.005,0.6931432485580444,0.7287237644195557,0.14733741262369116,0.002278256405139901,14.611048692463347,1e-06,34.96790552139282,56.896484375,56.57050180435181,93.19620990753174,True,PASS,
3,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.0001766681671142578,-8.869171142578125e-05,-0.0002244163282406289,-0.00011355049529139878,-0.00011355049529139878,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7872700095176697,0.7809845805168152,-0.006285429000854492,0.7871456742286682,0.781032919883728,-0.0061127543449401855,5.233287811279297e-05,0.0001766681671142578,-0.00013703107833862305,-8.869171142578125e-05,-8.469820022583008e-05,8.797645568847656e-05,1.0,1.0,-8.469820022583008e-05,8.797645568847656e-05,8.797645568847656e-05,0.0,1.0,0.005,0.6931447982788086,0.7906668186187744,0.12550980684911056,0.0022442062772194986,14.611072722362254,1e-06,34.9678750038147,56.916015625,56.57050180435181,92.7438154220581,True,PASS,
4,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.0002161860466003418,1.621246337890625e-05,-0.00027623597046417376,1.9842223440847897e-05,1.9842223440847897e-05,0.06701683490818998,WINNER_IMPROVES;LOSER_DEGRADES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.782582700252533,0.8170614242553711,0.034478724002838135,0.7825055718421936,0.8170769810676575,0.03457140922546387,0.00013905763626098633,0.0002161860466003418,6.556510925292969e-07,1.621246337890625e-05,0.00013971328735351562,0.00023239850997924805,0.9953071672354948,0.9302385226981277,0.00013971328735351562,0.00023239850997924805,0.00023239850997924805,0.0,1.0,0.005,0.693145215511322,0.7860750555992126,0.13445446313838755,0.002257015267300209,14.611097139773785,1e-06,34.9678750038147,56.896484375,56.57050180435181,92.82595586776733,True,PASS,
5,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,2.9206275939941406e-06,-0.0001488327980041504,3.968731364265583e-06,-0.00020056367265914644,-0.00020056367265914644,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7358973026275635,0.7420815229415894,0.006184220314025879,0.7359110713005066,0.7419981360435486,0.006087064743041992,1.0848045349121094e-05,-2.9206275939941406e-06,-6.54458999633789e-05,-0.0001488327980041504,-5.459785461425781e-05,-0.00015175342559814453,1.0,0.0,-5.459785461425781e-05,-0.00015175342559814453,-0.00015175342559814453,0.0,1.0,0.005,0.6931495666503906,0.7394338846206665,0.14906775086952037,0.0022682746626457024,14.61112206631995,1e-06,34.96790552139282,56.916015625,56.57050180435181,93.41402912139893,True,PASS,
6,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00026106834411621094,-0.00011557340621948242,-0.0003599489847837533,-0.00015814220324139187,-0.00015814220324139187,0.0,WINNER_IMPROVES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7252805829048157,0.7308506369590759,0.005570054054260254,0.7251620888710022,0.730761706829071,0.005599617958068848,0.00014257431030273438,0.00026106834411621094,-2.664327621459961e-05,-0.00011557340621948242,0.00011593103408813477,0.00014549493789672852,1.0,1.0,0.00011593103408813477,0.00014549493789672852,0.00014549493789672852,0.0,1.0,0.005,0.6931459307670593,0.7288018465042114,0.15036267066266135,0.002276504956570282,14.61114747178984,1e-06,34.96790552139282,56.896484375,56.57050180435181,93.5718982219696,True,PASS,
7,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00015866756439208984,-0.00014317035675048828,-0.00020154839252645008,-0.00018330497468279204,-0.00018330497468279204,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7871976494789124,0.781019389629364,-0.00617825984954834,0.7871636748313904,0.7809784412384033,-0.0061852335929870605,0.0001246929168701172,0.00015866756439208984,-0.00010222196578979492,-0.00014317035675048828,2.2470951080322266e-05,1.5497207641601562e-05,1.0,1.0,2.2470951080322266e-05,1.5497207641601562e-05,1.5497207641601562e-05,0.0,1.0,0.005,0.693145751953125,0.7906912565231323,0.12813948909023987,0.002269172663634852,14.611173163688008,1e-06,34.9678750038147,56.916015625,56.57050180435181,94.34685111045837,True,PASS,
8,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00022286176681518555,4.0590763092041016e-05,-0.00028476721783920995,4.9677766861506776e-05,4.9677766861506776e-05,0.14853793339422236,WINNER_IMPROVES;LOSER_DEGRADES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7826122641563416,0.8169612288475037,0.03434896469116211,0.7824988961219788,0.8171013593673706,0.034602463245391846,0.00010949373245239258,0.00022286176681518555,-9.953975677490234e-05,4.0590763092041016e-05,9.953975677490234e-06,0.00026345252990722656,1.0,0.8459276018099547,9.953975677490234e-06,0.00026345252990722656,0.00026345252990722656,0.0,1.0,0.005,0.6931431293487549,0.7859959602355957,0.13716804515903167,0.0022830330266240114,14.61119931128955,1e-06,34.9678750038147,56.896484375,56.57050180435181,93.48991012573242,True,PASS,
9,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-6.079673767089844e-06,-0.00013077259063720703,-8.261491318596412e-06,-0.0001762240059437653,-0.0001762240059437653,0.0,WINNER_IMPROVES,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359822392463684,0.7421534061431885,0.006171166896820068,0.7359020709991455,0.7420161962509155,0.0061141252517700195,-7.408857345581055e-05,6.079673767089844e-06,6.4373016357421875e-06,-0.00013077259063720703,-6.765127182006836e-05,-0.0001246929168701172,0.0,1.0,-6.765127182006836e-05,-0.0001246929168701172,-0.0001246929168701172,0.0,1.0,0.005,0.693150520324707,0.7393251061439514,0.15211934587212447,0.0022976222800406452,14.611226053280829,1e-06,34.96790552139282,56.916015625,56.57050180435181,94.22939562797546,True,PASS,
