step,pair_id,scope,objective,used_window_frames,timestep,actual_sigma,actual_sigma_bin,pair_weight,win_gap,lose_gap,g_w,g_l,g_l_clip,loser_dominance,health_flags,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,lambda_pref,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason
0,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-2.002716064453125e-05,6.085634231567383e-05,-2.5586891387989577e-05,7.447925254758731e-05,7.447925254758731e-05,0.7443002160204899,WINNER_IMPROVES;LOSER_DEGRADES;LOSER_DOMINANT,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7825925946235657,0.817083477973938,0.034490883350372314,0.7827017307281494,0.8171216249465942,0.034419894218444824,0.00012916326522827148,2.002716064453125e-05,2.2709369659423828e-05,6.085634231567383e-05,0.0001518726348876953,8.088350296020508e-05,0.8504709576138147,0.24760501105379515,0.0001518726348876953,8.088350296020508e-05,8.088350296020508e-05,0.0,1.0,0.005,0.6931450366973877,0.7861095666885376,0.035520865891706374,0.0009632327969471846,6.532249050000899,1e-06,34.8897500038147,55.021484375,54.60983371734619,90.84240126609802,True,PASS,
1,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,9.435415267944336e-05,-2.3245811462402344e-05,0.00012820635705588704,-3.132287294818124e-05,-3.132287294818124e-05,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359322905540466,0.7421213388442993,0.0061890482902526855,0.736002504825592,0.7421237230300903,0.006121218204498291,-2.4139881134033203e-05,-9.435415267944336e-05,-2.562999725341797e-05,-2.3245811462402344e-05,-4.976987838745117e-05,-0.0001175999641418457,0.0,0.0,-4.976987838745117e-05,-0.0001175999641418457,-0.0001175999641418457,0.0,1.0,0.005,0.693149209022522,0.7394295334815979,0.04180125750407807,0.0008834516637111901,6.532254891137317,1e-06,34.88978052139282,55.119140625,54.6508846282959,88.38260316848755,True,PASS,
2,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00017195940017700195,-9.59634780883789e-06,-0.0002370751202920033,-1.3129989038009897e-05,-1.3129989038009897e-05,0.0,WINNER_IMPROVES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7251929044723511,0.7308366298675537,0.005643725395202637,0.7252511978149414,0.7308676838874817,0.005616486072540283,0.00023025274276733398,0.00017195940017700195,-4.0650367736816406e-05,-9.59634780883789e-06,0.00018960237503051758,0.00016236305236816406,1.0,1.0,0.00018960237503051758,0.00016236305236816406,0.00016236305236816406,0.0,1.0,0.005,0.6931432485580444,0.7286494374275208,0.04199113423664037,0.000870538796137182,6.532261448159281,1e-06,34.88978052139282,54.923828125,54.6508846282959,89.3804099559784,True,PASS,
3,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-3.0100345611572266e-05,-2.586841583251953e-05,-3.823201630453531e-05,-3.311756257814737e-05,-3.311756257814737e-05,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7873530387878418,0.7811041474342346,-0.006248891353607178,0.7872922420501709,0.7810957431793213,-0.006196498870849609,-3.069639205932617e-05,3.0100345611572266e-05,-1.7464160919189453e-05,-2.586841583251953e-05,-4.8160552978515625e-05,4.231929779052734e-06,0.0,1.0,-4.8160552978515625e-05,4.231929779052734e-06,4.231929779052734e-06,0.0,1.0,0.005,0.6931524276733398,0.790864109992981,0.0346631905190444,0.0008501333469308166,6.532268242794741,1e-06,34.8897500038147,55.314453125,54.6508846282959,88.55213904380798,True,PASS,
4,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.0001698136329650879,5.739927291870117e-05,-0.00021697627862633716,7.024845438707024e-05,7.024845438707024e-05,0.24457662002175526,WINNER_IMPROVES;LOSER_DEGRADES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7826786637306213,0.8170733451843262,0.034394681453704834,0.7825519442558289,0.8171181678771973,0.03456622362136841,4.309415817260742e-05,0.0001698136329650879,1.2576580047607422e-05,5.739927291870117e-05,5.5670738220214844e-05,0.00022721290588378906,0.7740899357601713,0.7473767051416579,5.5670738220214844e-05,0.00022721290588378906,0.00022721290588378906,0.0,1.0,0.005,0.693144679069519,0.7861361503601074,0.036254147457288964,0.0008607200252689758,6.532275710860033,1e-06,34.8897500038147,55.392578125,54.6508846282959,88.63264036178589,True,PASS,
5,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,3.045797348022461e-05,0.00011271238327026367,4.1387424170119176e-05,0.0001518618661041458,0.0001518618661041458,1.0,WINNER_WORSE;LOSER_DEGRADES;LOSER_DOMINANT;CONFLICT,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359450459480286,0.7420976758003235,0.006152629852294922,0.7359386086463928,0.742259681224823,0.006321072578430176,-3.68952751159668e-05,-3.045797348022461e-05,-4.929304122924805e-05,0.00011271238327026367,-8.618831634521484e-05,8.225440979003906e-05,0.0,0.0,-8.618831634521484e-05,8.225440979003906e-05,8.225440979003906e-05,0.0,1.0,0.005,0.693149983882904,0.7394313812255859,0.04257254287180083,0.0008683286527351359,6.532283683275499,1e-06,34.88978052139282,55.314453125,54.6508846282959,88.1802589893341,True,PASS,
6,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00025397539138793945,3.3974647521972656e-05,-0.00035016783647113386,4.648366880297653e-05,4.648366880297653e-05,0.11719019891492276,WINNER_IMPROVES;LOSER_DEGRADES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7251312136650085,0.730845034122467,0.005713820457458496,0.7251691818237305,0.7309112548828125,0.005742073059082031,0.0002919435501098633,0.00025397539138793945,-3.224611282348633e-05,3.3974647521972656e-05,0.00025969743728637695,0.0002879500389099121,1.0,0.8820120057959014,0.00025969743728637695,0.0002879500389099121,0.0002879500389099121,0.0,1.0,0.005,0.6931400299072266,0.7286809682846069,0.043165050959703986,0.0008738142759727172,6.532291948915992,1e-06,34.88978052139282,55.392578125,54.6508846282959,88.4538962841034,True,PASS,
7,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-6.479024887084961e-05,-3.0517578125e-05,-8.229528181959969e-05,-3.906968318531519e-05,-3.906968318531519e-05,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7872703075408936,0.7810655832290649,-0.006204724311828613,0.7872575521469116,0.7810910940170288,-0.0061664581298828125,5.2034854888916016e-05,6.479024887084961e-05,-5.602836608886719e-05,-3.0517578125e-05,-3.993511199951172e-06,3.427267074584961e-05,1.0,1.0,-3.993511199951172e-06,3.427267074584961e-05,3.427267074584961e-05,0.0,1.0,0.005,0.6931473016738892,0.7908337116241455,0.0353166821672176,0.0008717995539428324,6.532300438917145,1e-06,34.8897500038147,55.314453125,54.6508846282959,89.29784154891968,True,PASS,
8,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,-5.8770179748535156e-05,4.26173210144043e-05,-7.508720037107834e-05,5.215794311039185e-05,5.215794311039185e-05,0.40990124796383476,WINNER_IMPROVES;LOSER_DEGRADES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7826414108276367,0.8171528577804565,0.034511446952819824,0.7826629877090454,0.817103385925293,0.03444039821624756,8.034706115722656e-05,5.8770179748535156e-05,9.208917617797852e-05,4.26173210144043e-05,0.00017243623733520508,0.00010138750076293945,0.46595229865191845,0.5796590241034686,0.00017243623733520508,0.00010138750076293945,0.00010138750076293945,0.0,1.0,0.005,0.6931386590003967,0.7859264612197876,0.03711638323645948,0.0008799526472805216,6.532309244237622,1e-06,34.8897500038147,55.392578125,54.6508846282959,88.78858757019043,True,PASS,
9,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L2_camera_temporal_r4,winner_detached_preference,49,349.5545349121094,0.34955453872680664,mid,1.0,0.00011539459228515625,-1.424551010131836e-05,0.00015679340457459614,-1.9195182666615105e-05,-1.9195182666615105e-05,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359283566474915,0.742161214351654,0.006232857704162598,0.7360235452651978,0.7421327233314514,0.006109178066253662,-2.0205974578857422e-05,-0.00011539459228515625,1.424551010131836e-05,-1.424551010131836e-05,-5.9604644775390625e-06,-0.0001296401023864746,0.0,0.0,-5.9604644775390625e-06,-0.0001296401023864746,-0.0001296401023864746,0.0,1.0,0.005,0.693149745464325,0.7394145131111145,0.04339292172572953,0.0008889744802267179,6.53231849320713,1e-06,34.88978052139282,55.314453125,54.6508846282959,89.02355003356934,True,PASS,
