manifest_path,total_rows,condition_like_rows,pair_like_rows,runnable_count,recoverable_count,template_distribution,camera_motion_distribution,not_runnable_reason
local_assets/dpo_objective_smoke_v3/checkpoint_video_eval/step000_sample1/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/dpo_objective_smoke_v3/checkpoint_video_eval/step005_sample1/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/dpo_objective_smoke_v3/checkpoint_video_eval/step010_sample1/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,66,66,66,50,16,"{""collision"": 54, ""containment"": 12}","{""orbit_left_44"": 12, ""orbit_right_64"": 54}","{""image_missing;prompt_missing;poses_missing;intrinsics_missing"": 16, ""ok"": 50}"
local_assets/dpo_prefix5_pairs_20260627_031729/manifests/anchored_dpo_probe_pairs_prefix5.jsonl,50,50,50,50,0,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}","{""ok"": 50}"
local_assets/dpo_probe_v2v5_20260627/rollouts_step020/chunk_0/generated_manifest.csv,4,4,0,4,0,"{""collision"": 4}","{""orbit_right_64"": 4}","{""ok"": 4}"
local_assets/dpo_probe_v2v5_20260627/rollouts_step020/chunk_1/generated_manifest.csv,4,4,0,4,0,"{""collision"": 4}","{""orbit_right_64"": 4}","{""ok"": 4}"
local_assets/dpo_probe_v2v5_20260627/rollouts_step020/chunk_2/generated_manifest.csv,4,4,0,4,0,"{""containment"": 4}","{""orbit_left_44"": 4}","{""ok"": 4}"
local_assets/dpo_probe_v2v5_20260627/rollouts_step020/chunk_3/generated_manifest.csv,4,4,0,4,0,"{""collision"": 2, ""containment"": 2}","{""orbit_left_44"": 2, ""orbit_right_64"": 2}","{""ok"": 4}"
local_assets/dpo_smoke_v7/checkpoint_video_eval/step000_sample1/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/dpo_smoke_v7/checkpoint_video_eval/step005_sample1/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/dpo_smoke_v7/checkpoint_video_eval/step010_sample1/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/dpo_smoke_v7/checkpoint_video_eval/step020_sample1/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/eval_metrics_20260627_005649/manifests/quant_benchmark_v1_all.jsonl,80,80,0,80,0,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""ok"": 80}"
local_assets/meeting_eval_20260624_011137/original_fast/generated_manifest.csv,8,8,0,0,0,"{""collision"": 2, ""containment"": 2, ""drop"": 2, ""roll"": 2}","{""orbit_left_44"": 2, ""orbit_left_72"": 2, ""orbit_right_60"": 2, ""strafe_left_180"": 2}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 8}"
local_assets/meeting_eval_20260624_011137/stageA_final883/generated_manifest.csv,8,8,0,0,0,"{""collision"": 2, ""containment"": 2, ""drop"": 2, ""roll"": 2}","{""orbit_left_44"": 2, ""orbit_left_72"": 2, ""orbit_right_60"": 2, ""strafe_left_180"": 2}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 8}"
local_assets/meeting_eval_20260624_011137/stageA_step800/generated_manifest.csv,8,8,0,0,0,"{""collision"": 2, ""containment"": 2, ""drop"": 2, ""roll"": 2}","{""orbit_left_44"": 2, ""orbit_left_72"": 2, ""orbit_right_60"": 2, ""strafe_left_180"": 2}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 8}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/anchored_pairs/anchored_dpo_probe_pairs.jsonl,50,50,50,50,0,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}","{""ok"": 50}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/quant80_rollouts/D_step050/generated_manifest.csv,80,80,0,0,0,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 80}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/quant80_rollouts/original_fast/generated_manifest.csv,80,80,0,0,0,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 80}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/reward_calibration_v2/calibration_conditions.jsonl,40,40,0,40,0,"{""collision"": 16, ""drop"": 16, ""roll"": 8}","{""orbit_left_72"": 16, ""orbit_right_60"": 8, ""orbit_right_64"": 16}","{""ok"": 40}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step100/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step200/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/B_step050/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/B_step100/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/B_step200/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/C_step050/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/C_step100/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/C_step200/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/D_step050/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/D_step100/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/D_step200/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/generated_manifest.csv,16,16,0,0,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""prefix_missing;gt_full_missing;gt_future_missing;poses_missing;intrinsics_missing"": 16}"
local_assets/stageA_v2v5_20260627/rollouts/step025_retry/generated_manifest.csv,16,16,0,16,0,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""ok"": 16}"
local_assets/stageA_v2v5_20260627/rollouts_accel/final_tail08_15/generated_manifest.csv,8,8,0,8,0,"{""collision"": 2, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 2}","{""ok"": 8}"
local_assets/stageA_v2v5_20260627/rollouts_accel/step050_last14_15/generated_manifest.csv,2,2,0,2,0,"{""collision"": 2}","{""orbit_right_64"": 2}","{""ok"": 2}"
local_assets/stageA_v2v5_20260627/rollouts_accel/step050_tail08_15/generated_manifest.csv,8,8,0,8,0,"{""collision"": 2, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 2}","{""ok"": 8}"
local_assets/stageA_v2v5_20260627/rollouts_accel/step050_tail11_15/generated_manifest.csv,5,5,0,5,0,"{""collision"": 2, ""containment"": 3}","{""orbit_left_44"": 3, ""orbit_right_64"": 2}","{""ok"": 5}"
local_assets/stageA_v2v5_20260627/rollouts_accel/step075_tail08_15/generated_manifest.csv,8,8,0,8,0,"{""collision"": 2, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 2}","{""ok"": 8}"
local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/generated_manifest.csv,5,5,0,5,0,"{""collision"": 4, ""containment"": 1}","{""orbit_left_44"": 1, ""orbit_right_64"": 4}","{""ok"": 5}"
local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/generated_manifest.csv,5,5,0,5,0,"{""collision"": 4, ""containment"": 1}","{""orbit_left_44"": 1, ""orbit_right_64"": 4}","{""ok"": 5}"
local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/generated_manifest.csv,5,5,0,5,0,"{""collision"": 4, ""containment"": 1}","{""orbit_left_44"": 1, ""orbit_right_64"": 4}","{""ok"": 5}"
local_assets/targeted_BC_loser_mining_v6/smoke_rollouts/M0_original_fast/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/targeted_BC_loser_mining_v6/smoke_rollouts/M_B_camera_r8/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/targeted_BC_loser_mining_v6/smoke_rollouts/M_C_camera_self_temporal_r4/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/generated_manifest.csv,16,16,0,16,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""ok"": 16}"
local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/generated_manifest.csv,16,16,0,16,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""ok"": 16}"
local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/generated_manifest.csv,2,2,0,2,0,"{""containment"": 2}","{""orbit_left_44"": 2}","{""ok"": 2}"
local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_B_camera_r8/generated_manifest.csv,16,16,0,16,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""ok"": 16}"
local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/generated_manifest.csv,16,16,0,16,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""ok"": 16}"
local_assets/targeted_BC_loser_mining_v6b/smoke_rollouts/M0_original_fast/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/targeted_BC_loser_mining_v6b/smoke_rollouts/M_B_camera_r8/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/targeted_BC_loser_mining_v6b/smoke_rollouts/M_C_camera_self_temporal_r4/generated_manifest.csv,1,1,0,1,0,"{""drop"": 1}","{""orbit_left_72"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_081415/original_fast_smoke/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_00/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_01/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_02/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_03/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_08/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_09/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_10/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_11/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_12/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_13/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
