pair_id,protocol_version,pair_type,corruption_type,manifest_source,status,decision_reason,dpo_ready_existing_strict,reward_margin,v5_status,v5_can_see,v5_explainable,v6b_status,v6b_dpo_ready,prefix_video,winner_video,loser_video,contact_sheet,written_reason
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,v6b,GT_C,event_extra_objects,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.257506,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,,"clear drop/event failure with extra objects, readable and not collapsed"
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,v6b,GT_C,event_missing_or_fragments,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.270628,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_future.mp4,,roll event has readable extra fragments/object trajectory mismatch
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,v6b,GT_C,physical_event_fragments,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.213415,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,,roll event remains clear but has fragments and physical-event mismatch
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,v6b,GT_C,containment_failure,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.238969,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,,containment scene clear with extra/incorrect object state
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,v6b,GT_C,containment_failure,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.221634,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4_future.mp4,,"containment outcome differs clearly, readable, not blur-driven"
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,v6b,GT_C,foreground_identity_event,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.258263,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4_future.mp4,,object/event state visibly differs while scene remains readable
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,v6b,GT_C,containment_failure,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.253065,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,,clear containment/foreground mismatch without collapse
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,v6b,GT_C,foreground_identity_extra_objects,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.285633,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,,"drop scene has clear extra colored objects/fragments, not blur-driven"
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,v6b,GT_C,foreground_identity_extra_objects,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.265513,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,,drop scene has visible multi-object hallucination and event mismatch
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,v6b,GT_C,collision_event_failure,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.19266,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,,collision event is readable with bounded object/state error
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,v6b,GT_C,collision_extra_objects,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,DPO_READY_EXISTING_STRICT,v6b reviewed GT>C ready pair,True,0.24824,,,,dpo_ready_gt_c,True,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02284_collision_orbit_right_64_seed41284_M_C_camera_self_temporal_r4_future.mp4,,collision scene has clear extra objects and event mismatch
