pair_id,pair_type,corruption_type,contact_sheet,codex_reviewed,codex_can_see_difference,loser_readable,too_blurry,too_collapsed,too_subtle,medium_hard,status,written_reason
v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=35.0; sharpness_ratio=1.000343
v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=44.0; sharpness_ratio=1.071201
v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,TypeM_v10_synthetic_visible,local_temporal_jump,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=83.0; sharpness_ratio=1.07187
v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=88.0; sharpness_ratio=1.02923
v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=75.0; sharpness_ratio=1.0
v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=50.0; sharpness_ratio=1.003577
v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=54.0; sharpness_ratio=1.0
v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,TypeM_v10_synthetic_visible,local_patch_drift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=28.0; sharpness_ratio=1.0
v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=54.0; sharpness_ratio=1.029784
v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,TypeM_v10_synthetic_visible,local_patch_freeze,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=47.0; sharpness_ratio=1.0
v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,TypeM_v10_synthetic_visible,foreground_identity_color_shift,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift.jpg,true,yes,yes,no,no,no,yes,CODEX_VISUAL_REVIEW_PASS_SYNTHETIC,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=47.0; sharpness_ratio=1.079327
