affected_region,affected_time_span,camera_motion,condition_id,contact_sheet,corruption_type,dpo_ready,fvd,local_absdiff_mean,local_absdiff_p95,loser_full_video,loser_video,lpips,pair_id,pair_type,prefix_video,psnr_future,reward_loser,reward_margin,reward_winner,sample_id,sharpness_loser,sharpness_ratio,sharpness_winner,ssim_future_proxy,status,template,vbench,winner_video,written_reason
"{""h"": 126, ""w"": 210, ""x"": 306, ""y"": 179}","[20, 67]",orbit_right_64,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_001_02200_collision_orbit_right_64_seed41200_local_patch_freeze.jpg,local_patch_freeze,False,BLOCKED_BY_ENV: no local FVD/I3D backend,6.065937,21.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_001_02200_collision_orbit_right_64_seed41200_local_patch_freeze/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_001_02200_collision_orbit_right_64_seed41200_local_patch_freeze/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_001_02200_collision_orbit_right_64_seed41200_local_patch_freeze,TypeM_v10_synthetic_visible,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,37.840192,0.837684,0.162316,1.0,02200_collision_orbit_right_64_seed41200,1183.724904,1.002876,1180.329707,0.996848,REJECT_SYNTHETIC_GATE,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=21.0; sharpness_ratio=1.002876
"{""h"": 145, ""w"": 178, ""x"": 349, ""y"": 231}","[20, 67]",orbit_right_64,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift.jpg,local_patch_drift,True,BLOCKED_BY_ENV: no local FVD/I3D backend,9.411947,35.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,TypeM_v10_synthetic_visible,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02202_collision_orbit_right_64_seed41202/prefix_len5.mp4,35.417159,0.805263,0.194737,1.0,02202_collision_orbit_right_64_seed41202,1254.172278,1.000343,1253.742849,0.995229,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=35.0; sharpness_ratio=1.000343
"{""h"": 147, ""w"": 219, ""x"": 196, ""y"": 133}","[20, 67]",strafe_left_180,02215_collision_strafe_left_180_seed41215,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift.jpg,foreground_identity_color_shift,True,BLOCKED_BY_ENV: no local FVD/I3D backend,14.465876,44.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,TypeM_v10_synthetic_visible,local_assets/dpo_pair_factory_v10/recovered_conditions/02215_collision_strafe_left_180_seed41215/prefix_len5.mp4,31.626466,0.784421,0.215579,1.0,02215_collision_strafe_left_180_seed41215,938.900011,1.071201,876.492894,0.990854,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_pair_factory_v10/recovered_conditions/02215_collision_strafe_left_180_seed41215/clean_future_5_80.mp4,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=44.0; sharpness_ratio=1.071201
"{""h"": 132, ""w"": 226, ""x"": 422, ""y"": 178}","[20, 67]",orbit_right_64,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump.jpg,local_temporal_jump,True,BLOCKED_BY_ENV: no local FVD/I3D backend,12.430313,83.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,TypeM_v10_synthetic_visible,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02222_collision_orbit_right_64_seed41222/prefix_len5.mp4,30.192153,0.694105,0.305895,1.0,02222_collision_orbit_right_64_seed41222,1017.197347,1.07187,948.99308,0.992717,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=83.0; sharpness_ratio=1.07187
"{""h"": 121, ""w"": 189, ""x"": 422, ""y"": 156}","[20, 67]",orbit_right_64,1cbeaad951cb1cf61abfeec4304bcdcf82c3013ecb9e22df3497c7ee5a143dbe,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze.jpg,local_patch_freeze,True,BLOCKED_BY_ENV: no local FVD/I3D backend,15.046515,88.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,TypeM_v10_synthetic_visible,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02226_collision_orbit_right_64_seed41226/prefix_len5.mp4,30.565658,0.682526,0.317474,1.0,02226_collision_orbit_right_64_seed41226,1220.580258,1.02923,1185.91586,0.993242,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=88.0; sharpness_ratio=1.02923
"{""h"": 150, ""w"": 205, ""x"": 415, ""y"": 187}","[20, 67]",orbit_right_64,02228_collision_orbit_right_64_seed41228,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift.jpg,local_patch_drift,True,BLOCKED_BY_ENV: no local FVD/I3D backend,12.413574,75.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,TypeM_v10_synthetic_visible,local_assets/dpo_pair_factory_v10/recovered_conditions/02228_collision_orbit_right_64_seed41228/prefix_len5.mp4,30.532987,0.712632,0.287368,1.0,02228_collision_orbit_right_64_seed41228,1005.666541,1.0,1005.666541,0.992503,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_pair_factory_v10/recovered_conditions/02228_collision_orbit_right_64_seed41228/clean_future_5_80.mp4,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=75.0; sharpness_ratio=1.0
"{""h"": 148, ""w"": 228, ""x"": 340, ""y"": 172}","[20, 67]",strafe_left_180,02239_collision_strafe_left_180_seed41239,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift.jpg,foreground_identity_color_shift,True,BLOCKED_BY_ENV: no local FVD/I3D backend,21.041998,50.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,TypeM_v10_synthetic_visible,local_assets/dpo_pair_factory_v10/recovered_conditions/02239_collision_strafe_left_180_seed41239/prefix_len5.mp4,29.803666,0.770526,0.229474,1.0,02239_collision_strafe_left_180_seed41239,1393.599036,1.003577,1388.632558,0.986055,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_pair_factory_v10/recovered_conditions/02239_collision_strafe_left_180_seed41239/clean_future_5_80.mp4,foreground_identity_color_shift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=50.0; sharpness_ratio=1.003577
"{""h"": 142, ""w"": 178, ""x"": 303, ""y"": 185}","[20, 67]",strafe_left_180,02259_collision_strafe_left_180_seed41259,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_008_02259_collision_strafe_left_180_seed41259_local_temporal_jump.jpg,local_temporal_jump,False,BLOCKED_BY_ENV: no local FVD/I3D backend,8.001774,30.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_008_02259_collision_strafe_left_180_seed41259_local_temporal_jump/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_008_02259_collision_strafe_left_180_seed41259_local_temporal_jump/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_008_02259_collision_strafe_left_180_seed41259_local_temporal_jump,TypeM_v10_synthetic_visible,local_assets/dpo_pair_factory_v10/recovered_conditions/02259_collision_strafe_left_180_seed41259/prefix_len5.mp4,36.664008,0.816842,0.183158,1.0,02259_collision_strafe_left_180_seed41259,1397.79614,1.0,1397.79614,0.996028,REJECT_SYNTHETIC_GATE,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_pair_factory_v10/recovered_conditions/02259_collision_strafe_left_180_seed41259/clean_future_5_80.mp4,local_temporal_jump creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=30.0; sharpness_ratio=1.0
"{""h"": 151, ""w"": 246, ""x"": 253, ""y"": 121}","[20, 67]",orbit_right_64,02262_collision_orbit_right_64_seed41262,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze.jpg,local_patch_freeze,True,BLOCKED_BY_ENV: no local FVD/I3D backend,10.592811,54.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,TypeM_v10_synthetic_visible,local_assets/dpo_pair_factory_v10/recovered_conditions/02262_collision_orbit_right_64_seed41262/prefix_len5.mp4,31.721433,0.761263,0.238737,1.0,02262_collision_orbit_right_64_seed41262,1273.272148,1.0,1273.272148,0.992272,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_pair_factory_v10/recovered_conditions/02262_collision_orbit_right_64_seed41262/clean_future_5_80.mp4,local_patch_freeze creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=54.0; sharpness_ratio=1.0
"{""h"": 150, ""w"": 204, ""x"": 271, ""y"": 206}","[20, 67]",orbit_right_64,02276_collision_orbit_right_64_seed41276,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/contact_sheets/v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift.jpg,local_patch_drift,True,BLOCKED_BY_ENV: no local FVD/I3D backend,8.196057,28.0,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift/loser_full_prefix5_future.mp4,local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift/loser_future.mp4,BLOCKED_BY_ENV: lpips unavailable,v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,TypeM_v10_synthetic_visible,local_assets/dpo_pair_factory_v10/recovered_conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,35.993232,0.821474,0.178526,1.0,02276_collision_orbit_right_64_seed41276,1462.760707,1.0,1462.760707,0.995074,DPO_READY_SYNTHETIC_VISIBLE_V10,collision,BLOCKED_BY_ENV: no local VBench evaluator,local_assets/dpo_pair_factory_v10/recovered_conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,local_patch_drift creates visible local future-only error; winner remains clean GT; loser remains sharp/readable; local_absdiff_p95=28.0; sharpness_ratio=1.0
