field,value,count
main_failure,foreground_identity_color_shift,20
main_failure,local_patch_drift,16
main_failure,local_patch_freeze,14
main_failure,local_temporal_jump,13
main_failure,containment_failure,3
main_failure,foreground_identity_extra_objects,2
main_failure,roll_identity_event,2
main_failure,containment_extra_objects,2
main_failure,partial_freeze,2
main_failure,event_extra_objects,1
main_failure,event_missing_or_fragments,1
main_failure,physical_event_fragments,1
main_failure,foreground_identity_event,1
main_failure,collision_event_failure,1
main_failure,collision_extra_objects,1
main_failure,object_identity_change_local,1
template,containment,32
template,collision,26
template,drop,19
template,roll,4
camera_motion,orbit_left_44,32
camera_motion,orbit_left_72,19
camera_motion,orbit_right_64,18
camera_motion,strafe_left_180,5
camera_motion,orbit_right_60,4
camera_motion,,3
