pair_id,pair_type,pair_source,source_protocol,is_synthetic,is_rollout_derived,is_controlled_corruption,condition_id,sample_id,template,camera_motion,prefix_len,prediction_start_frame,prefix_video_path,winner_video_path,loser_video_path,prefix_exists,winner_exists,loser_exists,prefix_decodable,winner_decodable,loser_decodable,winner_source,loser_source,winner_reward,loser_reward,reward_margin,winner_quality,loser_quality,main_failure,failure_tags,affected_region,affected_time_span,affected_mask,corruption_type,codex_reviewed,written_reason,medium_hard,too_subtle,too_blurry,too_collapsed,too_similar,winner_bad,same_prefix,same_prompt,same_poses,same_intrinsics,loss_frame_indices_count,reward_frame_indices_count,localdpo_ready,time_mask_ready,diagnostic_only,trainable,in_ppt_subset,status,decision_reason,repair_method
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,GT_C,rollout_derived,v6b,False,True,False,v6b_01014_drop_orbit_left_72_seed40014,01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.742494,0.257506,,,event_extra_objects,event_extra_objects,,,,event_extra_objects,True,"clear drop/event failure with extra objects, readable and not collapsed",True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,GT_C,rollout_derived,v6b,False,True,False,v6b_03410_roll_orbit_right_60_seed42410,03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.729372,0.270628,,,event_missing_or_fragments,event_missing_or_fragments,,,,event_missing_or_fragments,True,roll event has readable extra fragments/object trajectory mismatch,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,GT_C,rollout_derived,v6b,False,True,False,v6b_03418_roll_orbit_right_60_seed42418,03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.786585,0.213415,,,physical_event_fragments,physical_event_fragments,,,,physical_event_fragments,True,roll event remains clear but has fragments and physical-event mismatch,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,GT_C,rollout_derived,v6b,False,True,False,v6b_04204_containment_orbit_left_44_seed43204,04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.761031,0.238969,,,containment_failure,containment_failure,,,,containment_failure,True,containment scene clear with extra/incorrect object state,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,GT_C,rollout_derived,v6b,False,True,False,v6b_04209_containment_orbit_left_44_seed43209,04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.778366,0.221634,,,containment_failure,containment_failure,,,,containment_failure,True,"containment outcome differs clearly, readable, not blur-driven",True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,GT_C,rollout_derived,v6b,False,True,False,v6b_04214_containment_orbit_left_44_seed43214,04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.741737,0.258263,,,foreground_identity_event,foreground_identity_event,,,,foreground_identity_event,True,object/event state visibly differs while scene remains readable,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,GT_C,rollout_derived,v6b,False,True,False,v6b_04228_containment_orbit_left_44_seed43228,04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.746935,0.253065,,,containment_failure,containment_failure,,,,containment_failure,True,clear containment/foreground mismatch without collapse,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,GT_C,rollout_derived,v6b,False,True,False,v6b_01029_drop_orbit_left_72_seed40029,01029_drop_orbit_left_72_seed40029,drop,orbit_left_72,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.714367,0.285633,,,foreground_identity_extra_objects,foreground_identity_extra_objects,,,,foreground_identity_extra_objects,True,"drop scene has clear extra colored objects/fragments, not blur-driven",True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,True,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,GT_C,rollout_derived,v6b,False,True,False,v6b_01032_drop_orbit_left_72_seed40032,01032_drop_orbit_left_72_seed40032,drop,orbit_left_72,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.734487,0.265513,,,foreground_identity_extra_objects,foreground_identity_extra_objects,,,,foreground_identity_extra_objects,True,drop scene has visible multi-object hallucination and event mismatch,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,GT_C,rollout_derived,v6b,False,True,False,v6b_02276_collision_orbit_right_64_seed41276,02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.80734,0.19266,,,collision_event_failure,collision_event_failure,,,,collision_event_failure,True,collision event is readable with bounded object/state error,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,GT_C,rollout_derived,v6b,False,True,False,v6b_02284_collision_orbit_right_64_seed41284,02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02284_collision_orbit_right_64_seed41284_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.75176,0.24824,,,collision_extra_objects,collision_extra_objects,,,,collision_extra_objects,True,collision scene has clear extra objects and event mismatch,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,GT_C,rollout_derived,v6b,False,True,False,v6b_03435_roll_orbit_right_60_seed42435,03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03435_roll_orbit_right_60_seed42435_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.78601,0.21399,,,roll_identity_event,roll_identity_event,,,,roll_identity_event,True,roll object trajectory/identity diverges while video remains clear,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,GT_C,rollout_derived,v6b,False,True,False,v6b_03437_roll_orbit_right_60_seed42437,03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,5,5,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03437_roll_orbit_right_60_seed42437_M_C_camera_self_temporal_r4_future.mp4,True,True,True,True,True,True,clean_gt,C_camera_self_temporal_r4,1.0,0.764163,0.235837,,,roll_identity_event,roll_identity_event,,,,roll_identity_event,True,roll object identity/state differs visibly without blur/collapse,True,False,False,False,False,False,True,True,True,True,0,0,False,False,False,True,False,ready_strict,ACCEPT_STRICT,source inferred from v10 manifests/csv
