pair_id,contact_sheet_path,status,error_reason,pair_type,source,failure_type
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.jpg,CONTACT_SHEET_PASS,,GT_C,,event_extra_objects
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_002_03410_roll_orbit_right_60_seed42410.jpg,CONTACT_SHEET_PASS,,GT_C,,event_missing_or_fragments
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.jpg,CONTACT_SHEET_PASS,,GT_C,,physical_event_fragments
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.jpg,CONTACT_SHEET_PASS,,GT_C,,containment_failure
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_005_04209_containment_orbit_left_44_seed43209.jpg,CONTACT_SHEET_PASS,,GT_C,,containment_failure
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_006_04214_containment_orbit_left_44_seed43214.jpg,CONTACT_SHEET_PASS,,GT_C,,foreground_identity_event
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.jpg,CONTACT_SHEET_PASS,,GT_C,,containment_failure
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.jpg,CONTACT_SHEET_PASS,,GT_C,,foreground_identity_extra_objects
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.jpg,CONTACT_SHEET_PASS,,GT_C,,foreground_identity_extra_objects
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.jpg,CONTACT_SHEET_PASS,,GT_C,,collision_event_failure
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_012_02284_collision_orbit_right_64_seed41284.jpg,CONTACT_SHEET_PASS,,GT_C,,collision_extra_objects
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_013_03435_roll_orbit_right_60_seed42435.jpg,CONTACT_SHEET_PASS,,GT_C,,roll_identity_event
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_014_03437_roll_orbit_right_60_seed42437.jpg,CONTACT_SHEET_PASS,,GT_C,,roll_identity_event
v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_015_04248_containment_orbit_left_44_seed43248.jpg,CONTACT_SHEET_PASS,,GT_C,,containment_extra_objects
v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_016_04249_containment_orbit_left_44_seed43249.jpg,CONTACT_SHEET_PASS,,GT_C,,containment_extra_objects
protocol_v4_TypeAplus_022_s4_strong_pass_object_identity_change_local,reports/dpo_pair_factory_v11/contact_sheets/protocol_v4_TypeAplus_022_s4_strong_pass_object_identity_change_local.jpg,CONTACT_SHEET_PASS,,TypeA_plus,,object_identity_change_local
protocol_v4_TypeAplus_024_s4_strong_pass_partial_freeze,reports/dpo_pair_factory_v11/contact_sheets/protocol_v4_TypeAplus_024_s4_strong_pass_partial_freeze.jpg,CONTACT_SHEET_PASS,,TypeA_plus,,partial_freeze
protocol_v4_TypeAplus_028_s4_strong_pass_partial_freeze,reports/dpo_pair_factory_v11/contact_sheets/protocol_v4_TypeAplus_028_s4_strong_pass_partial_freeze.jpg,CONTACT_SHEET_PASS,,TypeA_plus,,partial_freeze
v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_drift
v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,foreground_identity_color_shift
v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_004_02222_collision_orbit_right_64_seed41222_local_temporal_jump.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_temporal_jump
v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_freeze
v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_drift
v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,foreground_identity_color_shift
v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_freeze
v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_drift
v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,foreground_identity_color_shift
v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_freeze
v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,foreground_identity_color_shift
v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_temporal_jump
v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_freeze
v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_drift
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,foreground_identity_color_shift
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,foreground_identity_color_shift
v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v10_synthetic_visible,,local_patch_drift
