pair_id,contact_sheet_path,status,error_reason,pair_type,source,failure_type
v11_SYN_EXTRA_0001_02200_collision_orbit_right_64_seed41200_collision_response_failure_synthetic,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0001_02200_collision_orbit_right_64_seed41200_collision_response_failure_synthetic.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,collision_response_failure_synthetic
v11_SYN_EXTRA_0002_02200_collision_orbit_right_64_seed41200_object_deformation_visible,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0002_02200_collision_orbit_right_64_seed41200_object_deformation_visible.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,object_deformation_visible
v11_SYN_EXTRA_0003_02200_collision_orbit_right_64_seed41200_object_duplicate_or_fragment,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0003_02200_collision_orbit_right_64_seed41200_object_duplicate_or_fragment.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,object_duplicate_or_fragment
v11_SYN_EXTRA_0004_02200_collision_orbit_right_64_seed41200_local_scene_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0004_02200_collision_orbit_right_64_seed41200_local_scene_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,local_scene_patch_drift
v11_SYN_EXTRA_0005_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0005_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,collision_response_failure_synthetic
v11_SYN_EXTRA_0006_02202_collision_orbit_right_64_seed41202_object_deformation_visible,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0006_02202_collision_orbit_right_64_seed41202_object_deformation_visible.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,object_deformation_visible
v11_SYN_EXTRA_0007_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0007_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,object_duplicate_or_fragment
v11_SYN_EXTRA_0008_02202_collision_orbit_right_64_seed41202_local_scene_patch_drift,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0008_02202_collision_orbit_right_64_seed41202_local_scene_patch_drift.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,local_scene_patch_drift
v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,collision_response_failure_synthetic
v11_SYN_EXTRA_0010_02215_collision_strafe_left_180_seed41215_object_deformation_visible,reports/dpo_pair_factory_v11/contact_sheets/v11_SYN_EXTRA_0010_02215_collision_strafe_left_180_seed41215_object_deformation_visible.jpg,CONTACT_SHEET_PASS,,TypeM_v11_synthetic_visible,synthetic_controlled,object_deformation_visible
