pair_id,pair_type,source,failure_type,condition_id,template,camera_motion,winner_video_path,loser_video_path,contact_sheet_path,loser_video_exists,loser_video_decodable,loser_frames,loser_width,loser_height,contact_sheet_exists,contact_sheet_readable,loser_crop_brightness,loser_crop_contrast,loser_crop_sharpness,winner_visual_quality,loser_visual_quality,reward_winner,reward_loser,reward_margin,PSNR,SSIM,sharpness_ratio,mean_absdiff,local_visible_diff,freeze_rate,brightness,contrast,reviewed,human_visible,medium_hard,visual_audit_ready,written_reason,reject_reasons,trainable_after_loser_audit,status
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,GT_C,rollout_derived,event_extra_objects,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.jpg,True,True,76,832,480,True,True,89.3723,69.2612,2482.8364,2,1,1.0,0.797908,0.202092,15.936225116905938,0.8003804408012706,0.19786348774951545,31.997888326644897,3.9997,0.0,112.79011731270032,69.7326636851553,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=event_extra_objects, reward_margin=0.202, sharpness_ratio=0.198.",,True,TRAINABLE
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,GT_C,rollout_derived,event_missing_or_fragments,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_002_03410_roll_orbit_right_60_seed42410.jpg,True,True,76,832,480,True,True,71.2577,40.9662,1669.9257,2,1,1.0,0.799522,0.200478,15.804267647217166,0.8077490782437742,0.14765281084264678,31.74235248565674,3.9678,0.0,102.61242800981572,54.490035591428665,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=event_missing_or_fragments, reward_margin=0.200, sharpness_ratio=0.148.",,True,TRAINABLE
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,GT_C,rollout_derived,physical_event_fragments,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.jpg,True,True,76,832,480,True,True,54.1373,25.3571,1635.7918,2,1,1.0,0.837569,0.162431,18.705065415246327,0.7956787168579373,0.1288235697500147,25.718196630477905,3.2148,0.0,83.59560296474359,50.70447182631439,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=physical_event_fragments, reward_margin=0.162, sharpness_ratio=0.129.",,True,TRAINABLE
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,GT_C,rollout_derived,containment_failure,v6b_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.jpg,True,True,76,832,480,True,True,41.3605,22.1829,1082.5626,2,1,1.0,0.828763,0.171237,17.779907956649744,0.8002355792152779,0.285422898273765,27.112513780593872,3.3891,0.0,75.73776292067308,61.56719754957261,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_failure, reward_margin=0.171, sharpness_ratio=0.285.",,True,TRAINABLE
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,GT_C,rollout_derived,containment_failure,v6b_04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_005_04209_containment_orbit_left_44_seed43209.jpg,True,True,76,832,480,True,True,43.5138,34.4803,1923.433,2,1,1.0,0.735291,0.264709,18.174237442644486,0.8486255195959235,0.4561257428660863,25.147397875785828,3.1434,0.0,85.27443972856571,74.49282399314254,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_failure, reward_margin=0.265, sharpness_ratio=0.456.",,True,TRAINABLE
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,GT_C,rollout_derived,foreground_identity_event,v6b_04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_006_04214_containment_orbit_left_44_seed43214.jpg,True,True,76,832,480,True,True,78.2847,53.6718,3805.6104,2,1,1.0,0.800795,0.199205,16.32541222374391,0.7804404611373861,0.3532178543282599,31.54074501991272,3.9426,0.0,107.88514936398238,68.01412205624884,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_event, reward_margin=0.199, sharpness_ratio=0.353.",,True,TRAINABLE
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,GT_C,rollout_derived,containment_failure,v6b_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.jpg,True,True,76,832,480,True,True,79.5691,49.5478,4204.498,2,1,1.0,0.64723,0.35277,16.474827822836772,0.7545085494853389,0.7287084025565788,33.51313233375549,4.1891,0.0,114.67943584735578,64.95670784230096,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_failure, reward_margin=0.353, sharpness_ratio=0.729.",,True,TRAINABLE
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,GT_C,rollout_derived,foreground_identity_extra_objects,v6b_01029_drop_orbit_left_72_seed40029,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.jpg,True,True,76,832,480,True,True,93.5224,66.5995,2681.0643,2,1,1.0,0.803048,0.196952,16.42814420737213,0.7101192541208448,0.2845491840904747,31.18413019180298,3.898,0.0,117.39044971955128,61.58966924954411,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_extra_objects, reward_margin=0.197, sharpness_ratio=0.285.",,True,TRAINABLE
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,GT_C,rollout_derived,foreground_identity_extra_objects,v6b_01032_drop_orbit_left_72_seed40032,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.jpg,True,True,76,832,480,True,True,107.8569,64.5524,1991.4818,2,1,1.0,0.828413,0.171587,17.60902023032934,0.7466112513458077,0.293120806516633,27.16793704032898,3.396,0.0,140.08498848157052,51.57034454663736,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_extra_objects, reward_margin=0.172, sharpness_ratio=0.293.",,True,TRAINABLE
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,GT_C,rollout_derived,collision_event_failure,v6b_02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.jpg,True,True,76,832,480,True,True,50.3145,20.4597,1462.9893,2,1,1.0,0.848146,0.151854,18.91346852258637,0.8490317759968657,0.09874416083230855,24.043543100357056,3.0054,0.0,75.49850010016026,57.264681119777364,True,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=collision_event_failure, reward_margin=0.152, sharpness_ratio=0.099.",,True,TRAINABLE
