pair_id,status,reasons
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,PASS,
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,PASS,
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,PASS,
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,PASS,
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,PASS,
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,PASS,
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,PASS,
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,PASS,
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,PASS,
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,PASS,
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,PASS,
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,PASS,
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,PASS,
v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,PASS,
v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,PASS,
v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,PASS,
v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,PASS,
v11_SYN_0223_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,PASS,
v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic,PASS,
v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,PASS,
v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,PASS,
v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,PASS,
v11_SYN_0387_01008_drop_orbit_left_72_seed40008_local_scene_patch_drift,PASS,
v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,PASS,
v11_SYN_0038_02239_collision_strafe_left_180_seed41239_object_deformation_visible,PASS,
v11_SYN_0386_01008_drop_orbit_left_72_seed40008_object_duplicate_or_fragment,PASS,
v11_SYN_0382_01002_drop_orbit_left_72_seed40002_object_identity_color_shift,PASS,
v11_SYN_0389_01008_drop_orbit_left_72_seed40008_partial_freeze_foreground,PASS,
v11_SYN_0224_04209_containment_orbit_left_44_seed43209_reobserve_mismatch_visible,PASS,
v11_SYN_0487_03410_roll_orbit_right_60_seed42410_roll_event_fragment_synthetic,PASS,
v11_SYN_0384_01002_drop_orbit_left_72_seed40002_wrong_camera_motion_visible,PASS,
v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,PASS,
v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0149_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,PASS,
v11_SYN_0385_01008_drop_orbit_left_72_seed40008_drop_motion_failure_synthetic,PASS,
v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,PASS,
v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift,PASS,
v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze,PASS,
v11_SYN_0393_01013_drop_orbit_left_72_seed40013_local_scene_patch_drift,PASS,
v10_TypeM_072_01039_drop_orbit_left_72_seed40039_local_temporal_jump,PASS,
v11_SYN_0056_02276_collision_orbit_right_64_seed41276_object_deformation_visible,PASS,
v11_SYN_0398_01014_drop_orbit_left_72_seed40014_object_duplicate_or_fragment,PASS,
v11_SYN_0388_01008_drop_orbit_left_72_seed40008_object_identity_color_shift,PASS,
v11_SYN_0395_01013_drop_orbit_left_72_seed40013_partial_freeze_foreground,PASS,
v11_SYN_0230_04214_containment_orbit_left_44_seed43214_reobserve_mismatch_visible,PASS,
v11_SYN_0493_03413_roll_orbit_right_60_seed42413_roll_event_fragment_synthetic,PASS,
v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,PASS,
v11_SYN_0031_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0153_04214_containment_orbit_left_44_seed43214_containment_failure_synthetic,PASS,
v11_SYN_0391_01013_drop_orbit_left_72_seed40013_drop_motion_failure_synthetic,PASS,
v10_TypeM_075_01079_drop_orbit_left_72_seed40079_foreground_identity_color_shift,PASS,
v10_TypeM_074_01060_drop_orbit_left_72_seed40060_local_patch_drift,PASS,
v10_TypeM_073_01047_drop_orbit_left_72_seed40047_local_patch_freeze,PASS,
