pair_id,condition_id,failure_type,severity,loser_video_path,status
v11_SYN_EXTRA_0001_02200_collision_orbit_right_64_seed41200_collision_response_failure_synthetic,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,collision_response_failure_synthetic,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0001_02200_collision_orbit_right_64_seed41200_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0002_02200_collision_orbit_right_64_seed41200_object_deformation_visible,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,object_deformation_visible,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0002_02200_collision_orbit_right_64_seed41200_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0003_02200_collision_orbit_right_64_seed41200_object_duplicate_or_fragment,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,object_duplicate_or_fragment,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0003_02200_collision_orbit_right_64_seed41200_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0004_02200_collision_orbit_right_64_seed41200_local_scene_patch_drift,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,local_scene_patch_drift,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0004_02200_collision_orbit_right_64_seed41200_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0005_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,collision_response_failure_synthetic,0.642,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0005_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0006_02202_collision_orbit_right_64_seed41202_object_deformation_visible,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,object_deformation_visible,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0006_02202_collision_orbit_right_64_seed41202_object_deformation_visible/loser_future.mp4,generated
v11_SYN_EXTRA_0007_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,object_duplicate_or_fragment,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0007_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_EXTRA_0008_02202_collision_orbit_right_64_seed41202_local_scene_patch_drift,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,local_scene_patch_drift,0.767,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0008_02202_collision_orbit_right_64_seed41202_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,02215_collision_strafe_left_180_seed41215,collision_response_failure_synthetic,0.683,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_EXTRA_0010_02215_collision_strafe_left_180_seed41215_object_deformation_visible,02215_collision_strafe_left_180_seed41215,object_deformation_visible,0.725,local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0010_02215_collision_strafe_left_180_seed41215_object_deformation_visible/loser_future.mp4,generated
