pair_id,pair_type,corruption_type,reward_margin,winner_source,loser_source,winner_visual_quality,loser_visual_quality,winner_physical_consistency,loser_physical_consistency,winner_camera_following,loser_camera_following,winner_foreground_identity,loser_foreground_identity,is_valid_preference,is_too_easy,is_loser_collapsed,is_winner_bad,is_medium_hard,contact_sheet,written_reason
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,background_drift_local,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local.jpg,Clean GT future is preferred over a future-only background_drift_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local.jpg,Clean GT future is preferred over a future-only wrong_camera_motion_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,object_deformation_local,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local.jpg,Clean GT future is preferred over a future-only object_deformation_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,object_identity_change_local,0.24,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local.jpg,Clean GT future is preferred over a future-only object_identity_change_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_005_02200_collision_orbit_right_64_seed41200_reobserve_mismatch_local,local_corruption,reobserve_mismatch_local,0.26,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_005_02200_collision_orbit_right_64_seed41200_reobserve_mismatch_local.jpg,Clean GT future is preferred over a future-only reobserve_mismatch_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze,local_corruption,partial_freeze,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze.jpg,Clean GT future is preferred over a future-only partial_freeze; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,physical_event_local_failure,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure.jpg,Clean GT future is preferred over a future-only physical_event_local_failure; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,background_drift_local,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local.jpg,Clean GT future is preferred over a future-only background_drift_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.24,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local.jpg,Clean GT future is preferred over a future-only wrong_camera_motion_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,object_deformation_local,0.26,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local.jpg,Clean GT future is preferred over a future-only object_deformation_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,object_identity_change_local,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local.jpg,Clean GT future is preferred over a future-only object_identity_change_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,reobserve_mismatch_local,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local.jpg,Clean GT future is preferred over a future-only reobserve_mismatch_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,partial_freeze,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze.jpg,Clean GT future is preferred over a future-only partial_freeze; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,physical_event_local_failure,0.24,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure.jpg,Clean GT future is preferred over a future-only physical_event_local_failure; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,background_drift_local,0.26,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local.jpg,Clean GT future is preferred over a future-only background_drift_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local.jpg,Clean GT future is preferred over a future-only wrong_camera_motion_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,object_deformation_local,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local.jpg,Clean GT future is preferred over a future-only object_deformation_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local,local_corruption,object_identity_change_local,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local.jpg,Clean GT future is preferred over a future-only object_identity_change_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_019_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,reobserve_mismatch_local,0.24,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_019_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local.jpg,Clean GT future is preferred over a future-only reobserve_mismatch_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_020_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,partial_freeze,0.26,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_020_02202_collision_orbit_right_64_seed41202_partial_freeze.jpg,Clean GT future is preferred over a future-only partial_freeze; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_021_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,physical_event_local_failure,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_021_02202_collision_orbit_right_64_seed41202_physical_event_local_failure.jpg,Clean GT future is preferred over a future-only physical_event_local_failure; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_022_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,background_drift_local,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_022_02202_collision_orbit_right_64_seed41202_background_drift_local.jpg,Clean GT future is preferred over a future-only background_drift_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local.jpg,Clean GT future is preferred over a future-only wrong_camera_motion_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_024_02222_collision_orbit_right_64_seed41222_object_deformation_local,local_corruption,object_deformation_local,0.24,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_024_02222_collision_orbit_right_64_seed41222_object_deformation_local.jpg,Clean GT future is preferred over a future-only object_deformation_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_025_02222_collision_orbit_right_64_seed41222_object_identity_change_local,local_corruption,object_identity_change_local,0.26,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_025_02222_collision_orbit_right_64_seed41222_object_identity_change_local.jpg,Clean GT future is preferred over a future-only object_identity_change_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_026_02222_collision_orbit_right_64_seed41222_reobserve_mismatch_local,local_corruption,reobserve_mismatch_local,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_026_02222_collision_orbit_right_64_seed41222_reobserve_mismatch_local.jpg,Clean GT future is preferred over a future-only reobserve_mismatch_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_027_02222_collision_orbit_right_64_seed41222_partial_freeze,local_corruption,partial_freeze,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_027_02222_collision_orbit_right_64_seed41222_partial_freeze.jpg,Clean GT future is preferred over a future-only partial_freeze; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_028_02222_collision_orbit_right_64_seed41222_physical_event_local_failure,local_corruption,physical_event_local_failure,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_028_02222_collision_orbit_right_64_seed41222_physical_event_local_failure.jpg,Clean GT future is preferred over a future-only physical_event_local_failure; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_029_02222_collision_orbit_right_64_seed41222_background_drift_local,local_corruption,background_drift_local,0.24,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_029_02222_collision_orbit_right_64_seed41222_background_drift_local.jpg,Clean GT future is preferred over a future-only background_drift_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,local_corruption,wrong_camera_motion_local,0.26,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local.jpg,Clean GT future is preferred over a future-only wrong_camera_motion_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_031_02222_collision_orbit_right_64_seed41222_object_deformation_local,local_corruption,object_deformation_local,0.18,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_031_02222_collision_orbit_right_64_seed41222_object_deformation_local.jpg,Clean GT future is preferred over a future-only object_deformation_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,local_corruption,object_identity_change_local,0.19999999999999998,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local.jpg,Clean GT future is preferred over a future-only object_identity_change_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
protocol_v1_A_033_02222_collision_orbit_right_64_seed41222_reobserve_mismatch_local,local_corruption,reobserve_mismatch_local,0.22,clean_gt,local_corruption,2,2,2,1,2,1,2,1,yes,no,no,no,yes,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_033_02222_collision_orbit_right_64_seed41222_reobserve_mismatch_local.jpg,Clean GT future is preferred over a future-only reobserve_mismatch_local; prefix frames 0-4 are unchanged and loser remains visually decodable.
