pair_id,sample_id,model,template,camera_variant,reward_margin,R_total_loser,R_quality_loser,failure_tags,selected_reason
protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,prefix5_anchored_1128e39109fc83_object_deformation,stageA_final,collision,orbit_right_64,0.30518612452173055,0.6948138754782694,0.7900634062710914,event_missing;object_duplicate;object_identity_change,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.305; failure tags event_missing,object_duplicate,object_identity_change."
protocol_v1_B_002_prefix5_anchored_1279c3b65a6d9e_object_identity_change_stageA_final,prefix5_anchored_1279c3b65a6d9e_object_identity_change,stageA_final,containment,orbit_left_44,0.33677804836154723,0.6632219516384528,0.9748152736070994,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.337; failure tags event_missing,object_duplicate,object_identity_change,physical_event_failure,wrong_camera_motion."
protocol_v1_B_003_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_stageA_final,prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,stageA_final,collision,orbit_right_64,0.30518612452173055,0.6948138754782694,0.7900634062710914,event_missing;object_duplicate;object_identity_change,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.305; failure tags event_missing,object_duplicate,object_identity_change."
protocol_v1_B_004_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_stageA_final,prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch,stageA_final,containment,orbit_left_44,0.33677804836154723,0.6632219516384528,0.9748152736070994,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.337; failure tags event_missing,object_duplicate,object_identity_change,physical_event_failure,wrong_camera_motion."
protocol_v1_B_005_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_stageA_final,prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,stageA_final,collision,orbit_right_64,0.30518612452173055,0.6948138754782694,0.7900634062710914,event_missing;object_duplicate;object_identity_change,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.305; failure tags event_missing,object_duplicate,object_identity_change."
protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,prefix5_anchored_525c18bc4422f0_background_drift,stageA_final,collision,orbit_right_64,0.30518612452173055,0.6948138754782694,0.7900634062710914,event_missing;object_duplicate;object_identity_change,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.305; failure tags event_missing,object_duplicate,object_identity_change."
protocol_v1_B_007_prefix5_anchored_7f708dfe212ad6_freeze_foreground_stageA_final,prefix5_anchored_7f708dfe212ad6_freeze_foreground,stageA_final,collision,orbit_right_64,0.30518612452173055,0.6948138754782694,0.7900634062710914,event_missing;object_duplicate;object_identity_change,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.305; failure tags event_missing,object_duplicate,object_identity_change."
protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,prefix5_anchored_95981b8f74bed0_background_drift,stageA_final,containment,orbit_left_44,0.33677804836154723,0.6632219516384528,0.9748152736070994,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.337; failure tags event_missing,object_duplicate,object_identity_change,physical_event_failure,wrong_camera_motion."
protocol_v1_B_009_prefix5_anchored_b53591379e11c1_object_deformation_stageA_final,prefix5_anchored_b53591379e11c1_object_deformation,stageA_final,collision,orbit_right_64,0.30518612452173055,0.6948138754782694,0.7900634062710914,event_missing;object_duplicate;object_identity_change,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.305; failure tags event_missing,object_duplicate,object_identity_change."
protocol_v1_B_010_prefix5_anchored_d744c2d6f264ba_object_deformation_stageA_final,prefix5_anchored_d744c2d6f264ba_object_deformation,stageA_final,containment,orbit_left_44,0.33677804836154723,0.6632219516384528,0.9748152736070994,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,"Clean GT future beats quality-floor rollout from stageA_final with medium-hard margin 0.337; failure tags event_missing,object_duplicate,object_identity_change,physical_event_failure,wrong_camera_motion."
