index,pair_id,prefix_len,pair_type,sample_id,template,camera_variant,corruption_type,winner_source,loser_source,reward_margin,contact_sheet,written_reason,winner_visual_quality,loser_visual_quality,winner_physical_consistency,loser_physical_consistency,winner_camera_following,loser_camera_following,winner_foreground_identity,loser_foreground_identity,is_valid_preference,is_too_easy,is_loser_collapsed,is_winner_bad,winner_mean_luma,loser_mean_luma,winner_blur_laplacian,loser_blur_laplacian,winner_freeze_ratio,loser_freeze_ratio
1,prefix5_anchored_525c18bc4422f0_background_drift,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,background_drift,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/001_prefix5_anchored_525c18bc4422f0_background_drift.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies background_drift only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.26141036184211,1700.6025773393947,1492.1035656798401,0.013333333333333334,0.0
2,prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,nonrigid_background_warp,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/002_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies nonrigid_background_warp only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.2858552631579,1700.6025773393947,1231.7106438201552,0.013333333333333334,0.0
3,prefix5_anchored_1128e39109fc83_object_deformation,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,object_deformation,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/003_prefix5_anchored_1128e39109fc83_object_deformation.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies object_deformation only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.29499070366133,1700.6025773393947,1665.235388051637,0.013333333333333334,0.013333333333333334
4,prefix5_anchored_ebade3740fe2f4_object_identity_change,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,object_identity_change,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/004_prefix5_anchored_ebade3740fe2f4_object_identity_change.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies object_identity_change only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,104.93572386298628,1700.6025773393947,1701.5654366786396,0.013333333333333334,0.013333333333333334
5,prefix5_anchored_e78653865b3413_wrong_camera_motion,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,wrong_camera_motion,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/005_prefix5_anchored_e78653865b3413_wrong_camera_motion.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies wrong_camera_motion only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.31819579519451,1700.6025773393947,1700.6025773393949,0.013333333333333334,0.013333333333333334
6,prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,reobserve_mismatch,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/006_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies reobserve_mismatch only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,106.8116231049771,1700.6025773393947,1655.2905972238118,0.013333333333333334,0.0
7,prefix5_anchored_7f708dfe212ad6_freeze_foreground,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,freeze_foreground,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/007_prefix5_anchored_7f708dfe212ad6_freeze_foreground.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies freeze_foreground only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.22192505720824,1700.6025773393947,1695.9521429143379,0.013333333333333334,0.013333333333333334
8,prefix5_anchored_ff65f1ae3e7ca8_background_drift,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,background_drift,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/008_prefix5_anchored_ff65f1ae3e7ca8_background_drift.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies background_drift only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.26141036184211,1700.6025773393947,1492.1035656798401,0.013333333333333334,0.0
9,prefix5_anchored_ede413792fce8b_nonrigid_background_warp,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,nonrigid_background_warp,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/009_prefix5_anchored_ede413792fce8b_nonrigid_background_warp.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies nonrigid_background_warp only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.2858552631579,1700.6025773393947,1231.7106438201552,0.013333333333333334,0.0
10,prefix5_anchored_b53591379e11c1_object_deformation,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,object_deformation,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/010_prefix5_anchored_b53591379e11c1_object_deformation.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies object_deformation only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,105.29499070366133,1700.6025773393947,1665.235388051637,0.013333333333333334,0.013333333333333334
11,prefix5_anchored_d8408fd43667f1_object_identity_change,5,clean_gt_future_vs_corrupted_gt_future,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,object_identity_change,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/011_prefix5_anchored_d8408fd43667f1_object_identity_change.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies object_identity_change only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,105.31819579519451,104.93572386298628,1700.6025773393947,1701.5654366786396,0.013333333333333334,0.013333333333333334
12,prefix5_anchored_17d8233fb42e9a_wrong_camera_motion,5,clean_gt_future_vs_corrupted_gt_future,02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,wrong_camera_motion,clean_gt_future,controlled_corrupted_gt_future,0.12,reports/dpo_prefix5_pair_visual_audit/pair_contact_sheets/012_prefix5_anchored_17d8233fb42e9a_wrong_camera_motion.jpg,prefix frames 0-4 are clean; winner future is GT frames 5-80; loser future applies wrong_camera_motion only to frames 5-80; valid=yes too_easy=no,2,2,2,1,2,1,2,1,yes,no,no,no,81.74647811784897,81.74647811784897,1730.557461540504,1730.557461540504,0.013333333333333334,0.013333333333333334
