pair_id,prefix_len,prediction_start_frame,loss_indices_ok,reward_indices_ok,same_prefix,same_prompt,same_poses,same_intrinsics,prefix_frames,winner_future_frames,loser_future_frames,ready,errors
prefix5_anchored_525c18bc4422f0_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_1128e39109fc83_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_ebade3740fe2f4_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_e78653865b3413_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_7f708dfe212ad6_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_ff65f1ae3e7ca8_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_ede413792fce8b_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_b53591379e11c1_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_d8408fd43667f1_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_17d8233fb42e9a_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_470b92adb1d905_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_3a8412d16577de_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_bdd57e1ace3182_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_5ca6a33615dc41_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_b53ac764435975_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_0e3d5fe349caa2_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_94703d25f70f54_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_4393bb3fc26838_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_c573c723b69846_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_7ff19fa9f1ec0a_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_fc9a0f2e96b792_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_381648a7ee3b01_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_062e5febebdae6_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_df4268390f231f_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_0658b1bf4e8520_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_521d71ded3eef8_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_6fdba84b827005_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_30815eba8e53c1_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_cee0374078f595_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_e059c242466e31_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_26ea506a78a326_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_16864d5280107e_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_ec7e83acbbaac4_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_7ee8f19e294e00_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_a6f2b2034dfb6a_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_2931cb0c14f7cc_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_1ed0b4e4cdbb21_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_204d0f3ffeece9_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_c959b2853cfc77_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_44ee098b772a8f_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_964657b282c6f9_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_7cb1b124998fc5_nonrigid_background_warp,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_d744c2d6f264ba_object_deformation,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_1279c3b65a6d9e_object_identity_change,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_dc458b2cf487d8_wrong_camera_motion,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_d86ae2fb1d25b2_freeze_foreground,5,5,True,True,True,True,True,True,5,76,76,True,
prefix5_anchored_95981b8f74bed0_background_drift,5,5,True,True,True,True,True,True,5,76,76,True,
