pair_id,condition_id,winner_source,loser_source,loser_video_path,winner_video_path,pair_type,failure_type,loser_visual_quality,loser_background_stability,loser_camera_following,loser_foreground_identity,loser_object_deformation,loser_physical_event,loser_reobserve,loser_freeze,is_clear_enough,is_too_blurry,is_collapsed,is_black_screen,is_scene_replaced,is_global_freeze,is_too_similar_to_winner,is_too_bad,is_medium_hard,is_dpo_ready,main_failure_tag,written_reason
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,v6b_01014_drop_orbit_left_72_seed40014,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,GT_C,event_extra_objects,1,1,1,1,1,1,,2,yes,no,no,no,no,no,no,no,yes,yes,event_extra_objects,"clear drop/event failure with extra objects, readable and not collapsed"
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,v6b_01032_drop_orbit_left_72_seed40032,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,GT_C,foreground_identity_extra_objects,1,1,1,1,1,1,,2,yes,no,no,no,no,no,no,no,yes,yes,foreground_identity_extra_objects,drop scene has visible multi-object hallucination and event mismatch
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,v6b_01029_drop_orbit_left_72_seed40029,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,GT_C,foreground_identity_extra_objects,1,1,1,1,1,1,,2,yes,no,no,no,no,no,no,no,yes,yes,foreground_identity_extra_objects,"drop scene has clear extra colored objects/fragments, not blur-driven"
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,v6b_02284_collision_orbit_right_64_seed41284,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02284_collision_orbit_right_64_seed41284_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/clean_future_5_80.mp4,GT_C,collision_extra_objects,1,1,1,1,1,1,,2,yes,no,no,no,no,no,no,no,yes,yes,collision_extra_objects,collision scene has clear extra objects and event mismatch
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,v6b_02276_collision_orbit_right_64_seed41276,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,GT_C,collision_event_failure,1,1,1,1,,1,,2,yes,no,no,no,no,no,no,no,yes,yes,collision_event_failure,collision event is readable with bounded object/state error
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,v6b_03437_roll_orbit_right_60_seed42437,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03437_roll_orbit_right_60_seed42437_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/clean_future_5_80.mp4,GT_C,roll_identity_event,1,1,1,1,1,1,,2,yes,no,no,no,no,no,no,no,yes,yes,roll_identity_event,roll object identity/state differs visibly without blur/collapse
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,v6b_03435_roll_orbit_right_60_seed42435,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03435_roll_orbit_right_60_seed42435_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/clean_future_5_80.mp4,GT_C,roll_identity_event,1,1,1,1,1,1,,2,yes,no,no,no,no,no,no,no,yes,yes,roll_identity_event,roll object trajectory/identity diverges while video remains clear
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,GT_C,physical_event_fragments,1,1,1,1,,1,,2,yes,no,no,no,no,no,no,no,yes,yes,physical_event_fragments,roll event remains clear but has fragments and physical-event mismatch
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,v6b_04204_containment_orbit_left_44_seed43204,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,GT_C,containment_failure,1,1,1,1,,1,,2,yes,no,no,no,no,no,no,no,yes,yes,containment_failure,containment scene clear with extra/incorrect object state
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,clean_gt,C_camera_self_temporal_r4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,GT_C,containment_failure,1,1,1,1,,1,,2,yes,no,no,no,no,no,no,no,yes,yes,containment_failure,clear containment/foreground mismatch without collapse
