subset,pair_id,pair_source,pair_type,failure_type,is_rollout_derived,is_synthetic,prefix_path,condition_full_path,winner_future_path,winner_full_path,loser_future_path,loser_full_path,prompt_path,poses_path,intrinsics_path,contact_sheet_path,prefix_exists,condition_full_exists,winner_future_exists,winner_full_exists,loser_future_exists,loser_full_exists,prompt_path_exists,poses_exists,intrinsics_exists,contact_sheet_exists,winner_video_ok,loser_video_ok,prefix_recoverable,winner_recoverable,loser_recoverable,reviewed,strict_asset_complete_for_energy,recoverable_for_energy,ready_recoverable_for_energy,missing_fields
all500,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,other,GT_C,event_extra_objects,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01014_drop_orbit_left_72_seed40014/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01014_drop_orbit_left_72_seed40014/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01014_drop_orbit_left_72_seed40014/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01014_drop_orbit_left_72_seed40014/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,other,GT_C,event_missing_or_fragments,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03410_roll_orbit_right_60_seed42410/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03410_roll_orbit_right_60_seed42410/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03410_roll_orbit_right_60_seed42410/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03410_roll_orbit_right_60_seed42410/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_002_03410_roll_orbit_right_60_seed42410.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,other,GT_C,physical_event_fragments,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03418_roll_orbit_right_60_seed42418/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03418_roll_orbit_right_60_seed42418/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03418_roll_orbit_right_60_seed42418/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03418_roll_orbit_right_60_seed42418/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,other,GT_C,containment_failure,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04204_containment_orbit_left_44_seed43204/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04204_containment_orbit_left_44_seed43204/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04204_containment_orbit_left_44_seed43204/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04204_containment_orbit_left_44_seed43204/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,other,GT_C,containment_failure,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_005_04209_containment_orbit_left_44_seed43209.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,other,GT_C,foreground_identity_event,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_006_04214_containment_orbit_left_44_seed43214.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,other,GT_C,containment_failure,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04228_containment_orbit_left_44_seed43228/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04228_containment_orbit_left_44_seed43228/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04228_containment_orbit_left_44_seed43228/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04228_containment_orbit_left_44_seed43228/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,other,GT_C,foreground_identity_extra_objects,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01029_drop_orbit_left_72_seed40029/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01029_drop_orbit_left_72_seed40029/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01029_drop_orbit_left_72_seed40029/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01029_drop_orbit_left_72_seed40029/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,other,GT_C,foreground_identity_extra_objects,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01032_drop_orbit_left_72_seed40032/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01032_drop_orbit_left_72_seed40032/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01032_drop_orbit_left_72_seed40032/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01032_drop_orbit_left_72_seed40032/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
all500,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,other,GT_C,collision_event_failure,False,False,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/prompt.txt,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/poses.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/intrinsics.npy,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.jpg,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,true,false,false,false,prefix_existing;loser_video
