pair_id,status,reason,pair_type,pair_source,failure_tag,winner_frames,loser_future_frames,prefix_path,winner_future_path,loser_full_path
v11_SYN_0005_02200_collision_orbit_right_64_seed41200_background_drift_visible,SKIP,missing_winner_or_gt_full,,,,,,,,
v11_SYN_0011_02202_collision_orbit_right_64_seed41202_background_drift_visible,SKIP,missing_winner_or_gt_full,,,,,,,,
v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible/loser_full_prefix5_plus_future.mp4
v11_SYN_0029_02226_collision_orbit_right_64_seed41226_background_drift_visible,SKIP,missing_winner_or_gt_full,,,,,,,,
v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible/loser_full_prefix5_plus_future.mp4
v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible/loser_full_prefix5_plus_future.mp4
v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible/loser_full_prefix5_plus_future.mp4
v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible/loser_full_prefix5_plus_future.mp4
v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible/loser_full_prefix5_plus_future.mp4
v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible,ADAPTED,,TypeM_v11_synthetic_visible,synthetic_controlled,background_drift_visible,81,76,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible/prefix_len5.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible/winner_future_5_80.mp4,local_assets/dpo_utility_calibration_v14/asset_complete_prefix5_calibration12/v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible/loser_full_prefix5_plus_future.mp4
