source,line_no,pair_id,pair_type,v14_pair_source,schema_ok,errors,prefix_exists,winner_full_exists,winner_future_exists,loser_full_exists,loser_future_exists
manifests/dpo_v14_subsets/s_pass.jsonl,1,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/s_pass.jsonl,2,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/s_pass.jsonl,3,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/s_pass.jsonl,4,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,1,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,2,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,3,v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,4,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,5,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,6,v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,7,v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,8,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,9,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,10,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,11,v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,12,v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,13,v11_SYN_0223_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,14,v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,15,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,16,v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,17,v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,18,v11_SYN_0387_01008_drop_orbit_left_72_seed40008_local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,19,v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,20,v11_SYN_0038_02239_collision_strafe_left_180_seed41239_object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,21,v11_SYN_0386_01008_drop_orbit_left_72_seed40008_object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,22,v11_SYN_0382_01002_drop_orbit_left_72_seed40002_object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,23,v11_SYN_0389_01008_drop_orbit_left_72_seed40008_partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,24,v11_SYN_0224_04209_containment_orbit_left_44_seed43209_reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,25,v11_SYN_0487_03410_roll_orbit_right_60_seed42410_roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,26,v11_SYN_0384_01002_drop_orbit_left_72_seed40002_wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,27,v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,28,v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,29,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,30,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,31,v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,32,v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,33,v11_SYN_EXTRA_0149_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,34,v11_SYN_0385_01008_drop_orbit_left_72_seed40008_drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,35,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,36,v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,37,v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,38,v11_SYN_0393_01013_drop_orbit_left_72_seed40013_local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,39,v10_TypeM_072_01039_drop_orbit_left_72_seed40039_local_temporal_jump,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,40,v11_SYN_0056_02276_collision_orbit_right_64_seed41276_object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,41,v11_SYN_0398_01014_drop_orbit_left_72_seed40014_object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,42,v11_SYN_0388_01008_drop_orbit_left_72_seed40008_object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,43,v11_SYN_0395_01013_drop_orbit_left_72_seed40013_partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,44,v11_SYN_0230_04214_containment_orbit_left_44_seed43214_reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,45,v11_SYN_0493_03413_roll_orbit_right_60_seed42413_roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,46,v11_SYN_0396_01013_drop_orbit_left_72_seed40013_wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,47,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,GT_C,other,False,missing_condition_prefix_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,True,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,48,v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,49,v11_SYN_0031_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,50,v11_SYN_EXTRA_0153_04214_containment_orbit_left_44_seed43214_containment_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,51,v11_SYN_0391_01013_drop_orbit_left_72_seed40013_drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,52,v10_TypeM_075_01079_drop_orbit_left_72_seed40079_foreground_identity_color_shift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,53,v10_TypeM_074_01060_drop_orbit_left_72_seed40060_local_patch_drift,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,54,v10_TypeM_073_01047_drop_orbit_left_72_seed40047_local_patch_freeze,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,55,v11_SYN_0399_01014_drop_orbit_left_72_seed40014_local_scene_patch_drift,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_v14_subsets/stratified100.jsonl,56,v10_TypeM_076_01086_drop_orbit_left_72_seed40086_local_temporal_jump,TypeM_v10_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_v14_subsets/stratified100.jsonl,57,v11_SYN_EXTRA_0070_02353_collision_strafe_left_180_seed41353_object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
