pair_id,failure_type,pair_type,pair_source,rank_within_failure
v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible,background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0533_03453_roll_orbit_right_60_seed42453_background_drift_visible,background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0149_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_background_drift_visible,background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0167_prefix5_anchored_b53591379e11c1_object_deformation_background_drift_visible,background_drift_visible,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0578_03533_roll_orbit_right_60_seed42533_wrong_camera_motion_visible,wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0566_03495_roll_orbit_right_60_seed42495_wrong_camera_motion_visible,wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0518_03440_roll_orbit_right_60_seed42440_wrong_camera_motion_visible,wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0384_01002_drop_orbit_left_72_seed40002_wrong_camera_motion_visible,wrong_camera_motion_visible,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0008_02202_collision_orbit_right_64_seed41202_object_deformation_visible,object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0579_03533_roll_orbit_right_60_seed42533_object_deformation_visible,object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_EXTRA_0102_prefix5_anchored_525c18bc4422f0_background_drift_object_deformation_visible,object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_EXTRA_0082_02378_collision_orbit_right_64_seed41378_object_deformation_visible,object_deformation_visible,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0012_02202_collision_orbit_right_64_seed41202_object_identity_color_shift,object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0582_03533_roll_orbit_right_60_seed42533_object_identity_color_shift,object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0090_02295_collision_strafe_left_180_seed41295_object_identity_color_shift,object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0570_03495_roll_orbit_right_60_seed42495_object_identity_color_shift,object_identity_color_shift,TypeM_v11_synthetic_visible,synthetic_controlled,4
v10_TypeM_063_v6_04204_containment_orbit_left_44_seed43204_foreground_identity_color_shift,foreground_identity_color_shift,TypeM_v10_synthetic_visible,,1
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,foreground_identity_color_shift,TypeM_v10_synthetic_visible,,2
v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,foreground_identity_color_shift,TypeM_v10_synthetic_visible,,3
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,foreground_identity_color_shift,TypeM_v10_synthetic_visible,,4
v11_SYN_0428_01039_drop_orbit_left_72_seed40039_object_duplicate_or_fragment,object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_EXTRA_0107_prefix5_anchored_7f708dfe212ad6_freeze_foreground_object_duplicate_or_fragment,object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0458_01101_drop_orbit_left_72_seed40101_object_duplicate_or_fragment,object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0440_01060_drop_orbit_left_72_seed40060_object_duplicate_or_fragment,object_duplicate_or_fragment,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0362_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground_reobserve_mismatch_visible,reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_EXTRA_0246_prefix5_anchored_dc458b2cf487d8_wrong_camera_motion_reobserve_mismatch_visible,reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0272_04267_containment_orbit_left_44_seed43267_reobserve_mismatch_visible,reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_EXTRA_0190_04280_containment_orbit_left_44_seed43280_reobserve_mismatch_visible,reobserve_mismatch_visible,TypeM_v11_synthetic_visible,synthetic_controlled,4
v11_SYN_0377_v6_04204_containment_orbit_left_44_seed43204_partial_freeze_foreground,partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,1
v11_SYN_0508_03435_roll_orbit_right_60_seed42435_partial_freeze_foreground,partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,2
v11_SYN_0568_03495_roll_orbit_right_60_seed42495_partial_freeze_foreground,partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,3
v11_SYN_0574_03505_roll_orbit_right_60_seed42505_partial_freeze_foreground,partial_freeze_foreground,TypeM_v11_synthetic_visible,synthetic_controlled,4
