subset_name,row_idx,pair_id,pair_source,pair_type,failure_type,reward_margin,medium_hard,affected_region_available,affected_time_span_available,local_mask_ratio,sigma,timestep,actual_sigma_bin,requested_sigma_bin,energy_backend,status,error_reason
all500,0,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,other,GT_C,event_extra_objects,0.202092,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,1,v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,other,GT_C,event_missing_or_fragments,0.200478,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,2,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,other,GT_C,physical_event_fragments,0.162431,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,3,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,other,GT_C,containment_failure,0.171237,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,4,v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,other,GT_C,containment_failure,0.264709,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,5,v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,other,GT_C,foreground_identity_event,0.199205,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,6,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,other,GT_C,containment_failure,0.35277,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,7,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,other,GT_C,foreground_identity_extra_objects,0.196952,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,8,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,other,GT_C,foreground_identity_extra_objects,0.171587,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,9,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,other,GT_C,collision_event_failure,0.151854,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,10,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,other,GT_C,collision_extra_objects,0.216568,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,11,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,other,GT_C,roll_identity_event,0.167279,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,12,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,other,GT_C,roll_identity_event,0.141602,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,13,v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,other,GT_C,containment_extra_objects,0.183348,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,14,v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,other,GT_C,containment_extra_objects,0.206794,True,False,False,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,15,v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,synthetic_controlled,TypeM_v11_synthetic_visible,background_drift_visible,0.12,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,16,v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,collision_response_failure_synthetic,0.12,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,17,v11_SYN_0223_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,containment_failure_synthetic,0.132139,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,18,v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic,synthetic_controlled,TypeM_v11_synthetic_visible,drop_motion_failure_synthetic,0.12,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,19,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,0.40997,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,20,v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,0.251452,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,21,v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,0.187438,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,22,v11_SYN_0387_01008_drop_orbit_left_72_seed40008_local_scene_patch_drift,synthetic_controlled,TypeM_v11_synthetic_visible,local_scene_patch_drift,0.12,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,23,v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,0.28365,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,24,v11_SYN_0038_02239_collision_strafe_left_180_seed41239_object_deformation_visible,synthetic_controlled,TypeM_v11_synthetic_visible,object_deformation_visible,0.12,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,25,v11_SYN_0386_01008_drop_orbit_left_72_seed40008_object_duplicate_or_fragment,synthetic_controlled,TypeM_v11_synthetic_visible,object_duplicate_or_fragment,0.12,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,26,v11_SYN_0382_01002_drop_orbit_left_72_seed40002_object_identity_color_shift,synthetic_controlled,TypeM_v11_synthetic_visible,object_identity_color_shift,0.167472,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,27,v11_SYN_0389_01008_drop_orbit_left_72_seed40008_partial_freeze_foreground,synthetic_controlled,TypeM_v11_synthetic_visible,partial_freeze_foreground,0.149866,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
all500,28,v11_SYN_0224_04209_containment_orbit_left_44_seed43209_reobserve_mismatch_visible,synthetic_controlled,TypeM_v11_synthetic_visible,reobserve_mismatch_visible,0.130379,True,True,True,,,,unknown,unknown,lingbot_pending,MISSING_REAL_ENERGY,No real energy fields found; rerun with LingBot energy backend.
