group,label,metric,rows,positive_rows,negative_rows,mean_positive_margin,mean_negative_margin,median_positive_margin,median_negative_margin,auc_positive_higher,spearman_label_corr,interpretation
all_available,worse_than_step0,vjepa_margin,24,19,5,0.0028406914911772076,0.0023756861686706544,0.0017150640487670898,0.002115011215209961,0.4842105263157895,-0.02223239024939453,NO_RELIABLE_DISCRIMINATION
all_available,worse_than_step0,token_relation_margin,24,19,5,0.0635637829178258,0.061315744370222094,0.05776410549879074,0.06045518070459366,0.4631578947368421,-0.05187557724858723,NO_RELIABLE_DISCRIMINATION
all_available,identity_worse,vjepa_margin,24,10,14,0.004058682918548584,0.001804624285016741,0.0029032528400421143,0.0016064345836639404,0.7785714285714286,0.4761648026205406,PROMISING_DISCRIMINATION_SMALL_N
all_available,identity_worse,token_relation_margin,24,10,14,0.07108362391591072,0.05738959700933525,0.06525137089192867,0.054547496140003204,0.7357142857142858,0.40290867914045747,WEAK_DISCRIMINATION_SMALL_N
all_available,artifact_worse,vjepa_margin,24,10,14,0.004058682918548584,0.001804624285016741,0.0029032528400421143,0.0016064345836639404,0.7785714285714286,0.4761648026205406,PROMISING_DISCRIMINATION_SMALL_N
all_available,artifact_worse,token_relation_margin,24,10,14,0.07108362391591072,0.05738959700933525,0.06525137089192867,0.054547496140003204,0.7357142857142858,0.40290867914045747,WEAK_DISCRIMINATION_SMALL_N
scalar_positive_e07_e09_e10,worse_than_step0,vjepa_margin,12,10,2,0.004058682918548584,0.0023547708988189697,0.0029032528400421143,0.0023547708988189697,0.65,0.19432508268938872,WEAK_DISCRIMINATION_SMALL_N
scalar_positive_e07_e09_e10,worse_than_step0,token_relation_margin,12,10,2,0.07108362391591072,0.05730912648141384,0.06525137089192867,0.05730912648141384,0.65,0.19432508268938872,WEAK_DISCRIMINATION_SMALL_N
scalar_positive_e07_e09_e10,identity_worse,vjepa_margin,12,10,2,0.004058682918548584,0.0023547708988189697,0.0029032528400421143,0.0023547708988189697,0.65,0.19432508268938872,WEAK_DISCRIMINATION_SMALL_N
scalar_positive_e07_e09_e10,identity_worse,token_relation_margin,12,10,2,0.07108362391591072,0.05730912648141384,0.06525137089192867,0.05730912648141384,0.65,0.19432508268938872,WEAK_DISCRIMINATION_SMALL_N
scalar_positive_e07_e09_e10,artifact_worse,vjepa_margin,12,10,2,0.004058682918548584,0.0023547708988189697,0.0029032528400421143,0.0023547708988189697,0.65,0.19432508268938872,WEAK_DISCRIMINATION_SMALL_N
scalar_positive_e07_e09_e10,artifact_worse,token_relation_margin,12,10,2,0.07108362391591072,0.05730912648141384,0.06525137089192867,0.05730912648141384,0.65,0.19432508268938872,WEAK_DISCRIMINATION_SMALL_N
pre_v14_screen_e02_e04_e05,worse_than_step0,vjepa_margin,12,9,3,0.0014873676829867894,0.002389629681905111,0.0014988183975219727,0.002115011215209961,0.2962962962962963,-0.3066220703359333,INVERSE_OR_NOISY_RELATION
pre_v14_screen_e02_e04_e05,worse_than_step0,token_relation_margin,12,9,3,0.05520840403106478,0.06398682296276093,0.053277745842933655,0.07686781138181686,0.3333333333333333,-0.2508726030021272,INVERSE_OR_NOISY_RELATION
pre_v14_screen_e02_e04_e05,identity_worse,vjepa_margin,12,0,12,,0.0017129331827163696,,0.0015606284141540527,,,UNDEFINED_SINGLE_CLASS_OR_TOO_FEW_ROWS
pre_v14_screen_e02_e04_e05,identity_worse,token_relation_margin,12,0,12,,0.057403008763988815,,0.05410483293235302,,,UNDEFINED_SINGLE_CLASS_OR_TOO_FEW_ROWS
pre_v14_screen_e02_e04_e05,artifact_worse,vjepa_margin,12,0,12,,0.0017129331827163696,,0.0015606284141540527,,,UNDEFINED_SINGLE_CLASS_OR_TOO_FEW_ROWS
pre_v14_screen_e02_e04_e05,artifact_worse,token_relation_margin,12,0,12,,0.057403008763988815,,0.05410483293235302,,,UNDEFINED_SINGLE_CLASS_OR_TOO_FEW_ROWS
