pair_id,backend,frame_indices,num_frames,winner_video,loser_video,winner_distance_to_reference,loser_distance_to_reference,vjepa_margin,token_relation_winner,token_relation_loser,token_relation_margin,status,error_reason,seconds
v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [0, 11, 21, 32, 43, 54, 64, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible/loser_future.mp4,0.0,0.000707089900970459,0.000707089900970459,0.0,0.03480563312768936,0.03480563312768936,ok,,16.02
v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [0, 11, 21, 32, 43, 54, 64, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic/loser_future.mp4,0.0,0.0012121796607971191,0.0012121796607971191,0.0,0.03984168544411659,0.03984168544411659,ok,,15.786
v11_SYN_0223_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [0, 11, 21, 32, 43, 54, 64, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0223_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic/loser_future.mp4,0.0,0.0005807876586914062,0.0005807876586914062,0.0,0.030051536858081818,0.030051536858081818,ok,,16.483
v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [0, 11, 21, 32, 43, 54, 64, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01002_drop_orbit_left_72_seed40002/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic/loser_future.mp4,0.0,0.0016139745712280273,0.0016139745712280273,0.0,0.03517336770892143,0.03517336770892143,ok,,12.468
v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift/loser_full_prefix5_future.mp4,0.0
v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift/loser_full_prefix5_future.mp4,0.0
v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze/loser_full_prefix5_future.mp4,0.0
v11_SYN_0387_01008_drop_orbit_left_72_seed40008_local_scene_patch_drift,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [0, 11, 21, 32, 43, 54, 64, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01008_drop_orbit_left_72_seed40008/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0387_01008_drop_orbit_left_72_seed40008_local_scene_patch_drift/loser_future.mp4,0.0,0.0002738833427429199,0.0002738833427429199,0.0,0.024008052423596382,0.024008052423596382,ok,,11.304
v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump/loser_full_prefix5_future.mp4,0.0
v11_SYN_0038_02239_collision_strafe_left_180_seed41239_object_deformation_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [0, 11, 21, 32, 43, 54, 64, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0038_02239_collision_strafe_left_180_seed41239_object_deformation_visible/loser_future.mp4,0.0,0.0007231831550598145,0.0007231831550598145,0.0,0.03525301441550255,0.03525301441550255,ok,,9.783
