step,pair_id,scope,objective,used_window_frames,timestep,actual_sigma,actual_sigma_bin,pair_weight,win_gap,lose_gap,g_w,g_l,g_l_clip,loser_dominance,health_flags,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,lambda_pref,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason,winner_contribution_ratio
0,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-7.337331771850586e-05,-0.00010466575622558594,-9.374564500058314e-05,-0.0001281085365962126,-0.0001281085365962126,0.0,WINNER_IMPROVES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7824082374572754,0.8171964883804321,0.03478825092315674,0.7826483845710754,0.816956102848053,0.03430771827697754,0.0003135204315185547,7.337331771850586e-05,0.00013571977615356445,-0.00010466575622558594,0.00044924020767211914,-3.129243850708008e-05,0.6978904073238689,1.0,0.00044924020767211914,-3.129243850708008e-05,-3.129243850708008e-05,0.0,1.0,0.005,-4.929304122924805e-05,0.7825280427932739,0.2632836010436174,0.002473711671613663,14.611001970620169,1e-06,34.967875480651855,56.896484375,56.52164268493652,95.65690422058105,True,PASS,,0.9998933397557029
1,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,1.1324882507324219e-06,-0.00011551380157470703,1.5388977046606706e-06,-0.00015566026077819226,-0.00015566026077819226,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359259128570557,0.7421973943710327,0.006271481513977051,0.7359092831611633,0.742031455039978,0.006122171878814697,-1.7762184143066406e-05,-1.1324882507324219e-06,5.042552947998047e-05,-0.00011551380157470703,3.266334533691406e-05,-0.00011664628982543945,0.0,0.0,3.266334533691406e-05,-0.00011664628982543945,-0.00011664628982543945,0.0,1.0,0.005,4.565715789794922e-05,0.7359338998794556,0.29202578241507027,0.0023390276449607936,14.61102589509776,1e-06,34.96790599822998,56.896484375,56.570502281188965,94.98444652557373,True,PASS,,0.0
2,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00028455257415771484,-2.5987625122070312e-05,-0.0003923343098749314,-3.55573876737795e-05,-3.55573876737795e-05,0.0,WINNER_IMPROVES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7252258658409119,0.730829656124115,0.005603790283203125,0.7251386046409607,0.7308512926101685,0.005712687969207764,0.00019729137420654297,0.00028455257415771484,-4.762411117553711e-05,-2.5987625122070312e-05,0.00014966726303100586,0.00025856494903564453,1.0,1.0,0.00014966726303100586,0.00025856494903564453,0.00025856494903564453,0.0,1.0,0.005,-0.00024390220642089844,0.7249574661254883,0.2948493141225512,0.0023245758290031337,14.611050144078462,1e-06,34.96790599822998,56.896484375,56.570502281188965,94.58453416824341,True,PASS,,0.9999745121829263
3,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-6.389617919921875e-05,-9.143352508544922e-05,-8.115960627079938e-05,-0.00011706099832827134,-0.00011706099832827134,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7872854471206665,0.7810751795768738,-0.006210267543792725,0.7872584462165833,0.7810301780700684,-0.006228268146514893,3.68952751159668e-05,6.389617919921875e-05,-4.64320182800293e-05,-9.143352508544922e-05,-9.5367431640625e-06,-2.753734588623047e-05,1.0,1.0,-9.5367431640625e-06,-2.753734588623047e-05,-2.753734588623047e-05,0.0,1.0,0.005,-6.139278411865234e-05,0.7871267795562744,0.25101742861009485,0.0022900841468679193,14.611074622582468,1e-06,34.967875480651855,56.916015625,56.570502281188965,92.52390933036804,True,PASS,,0.9998768011764572
4,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00014293193817138672,-1.0669231414794922e-05,-0.00018262554581279956,-1.3058148615746887e-05,-1.3058148615746887e-05,0.0,WINNER_IMPROVES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.782537043094635,0.8171789646148682,0.034641921520233154,0.7825788259506226,0.8170500993728638,0.03447127342224121,0.00018471479415893555,0.00014293193817138672,0.00011819601058959961,-1.0669231414794922e-05,0.00030291080474853516,0.0001322627067565918,0.6097992916174735,1.0,0.00030291080474853516,0.0001322627067565918,0.0001322627067565918,0.0,1.0,0.005,-0.00020056962966918945,0.78240567445755,0.2688837047290764,0.0023026838712431,14.611099582236985,1e-06,34.967875480651855,56.896484375,56.570502281188965,93.27269887924194,True,PASS,,0.9999452461460583
5,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,6.747245788574219e-05,1.722574234008789e-05,9.168177300017451e-05,2.321041912667606e-05,2.321041912667606e-05,0.9995693445520751,WINNER_WORSE;LOSER_DEGRADES;LOSER_DOMINANT;CONFLICT,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359455823898315,0.7421150207519531,0.006169438362121582,0.7359756231307983,0.7421641945838928,0.006188571453094482,-3.743171691894531e-05,-6.747245788574219e-05,-3.1948089599609375e-05,1.722574234008789e-05,-6.937980651855469e-05,-5.02467155456543e-05,0.0,0.0,-6.937980651855469e-05,-5.02467155456543e-05,-5.02467155456543e-05,0.0,1.0,0.005,0.00010091066360473633,0.7360863089561462,0.29810617870976264,0.002313268677238448,14.611125036869389,1e-06,34.96790599822998,56.916015625,56.570502281188965,93.14040541648865,True,PASS,,0.0
6,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00016069412231445312,-5.352497100830078e-05,-0.00022154230869423478,-7.323654974569663e-05,-7.323654974569663e-05,0.0,WINNER_IMPROVES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7253555655479431,0.7307736873626709,0.005418121814727783,0.725262463092804,0.7308237552642822,0.0055612921714782715,6.759166717529297e-05,0.00016069412231445312,-0.0001035928726196289,-5.352497100830078e-05,-3.600120544433594e-05,0.00010716915130615234,1.0,1.0,-3.600120544433594e-05,0.00010716915130615234,0.00010716915130615234,0.0,1.0,0.005,-0.0003459453582763672,0.7247672080993652,0.30031441984645174,0.002321380128166575,14.611150922560462,1e-06,34.96790599822998,56.896484375,56.570502281188965,93.22180151939392,True,PASS,,0.9999548639323195
7,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-5.167722702026367e-05,-3.141164779663086e-05,-6.563883636490971e-05,-4.021432582531262e-05,-4.021432582531262e-05,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7872571349143982,0.781051754951477,-0.006205379962921143,0.7872706651687622,0.7810901999473572,-0.006180465221405029,6.520748138427734e-05,5.167722702026367e-05,-6.985664367675781e-05,-3.141164779663086e-05,-4.649162292480469e-06,2.0265579223632812e-05,1.0,1.0,-4.649162292480469e-06,2.0265579223632812e-05,2.0265579223632812e-05,0.0,1.0,0.005,7.957220077514648e-05,0.7873446345329285,0.25628345691588333,0.0023137189580267415,14.611177067307157,1e-06,34.967875480651855,56.916015625,56.570502281188965,94.73903346061707,True,PASS,,0.9998476743754541
8,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.0002638101577758789,-2.3066997528076172e-05,-0.00033709887236055996,-2.8232077402676577e-05,-2.8232077402676577e-05,0.0,WINNER_IMPROVES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7825520634651184,0.8170650005340576,0.03451293706893921,0.7824579477310181,0.8170377016067505,0.03457975387573242,0.0001696944236755371,0.0002638101577758789,4.231929779052734e-06,-2.3066997528076172e-05,0.00017392635345458984,0.00024074316024780273,0.9756682659355723,1.0,0.00017392635345458984,0.00024074316024780273,0.00024074316024780273,0.0,1.0,0.005,-0.00012421607971191406,0.7824385762214661,0.274428999052623,0.0023275377225269013,14.611203821819535,1e-06,34.967875480651855,56.896484375,56.570502281188965,92.92667078971863,True,PASS,,0.9999703359928501
9,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,linear_winner_detached,49,349.5545349121094,0.34955453872680664,mid,1.0,6.079673767089844e-05,-6.633996963500977e-05,8.26111595303478e-05,-8.939325597698556e-05,-8.939325597698556e-05,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359077334403992,0.7420181035995483,0.00611037015914917,0.7359689474105835,0.7420806288719177,0.0061116814613342285,4.172325134277344e-07,-6.079673767089844e-05,-0.00012886524200439453,-6.633996963500977e-05,-0.0001284480094909668,-0.0001271367073059082,1.0,0.0,-0.0001284480094909668,-0.0001271367073059082,-0.0001271367073059082,0.0,1.0,0.005,0.00016480684280395508,0.7361177802085876,0.30422376130384843,0.002341700246837305,14.611231030322834,1e-06,34.96790599822998,56.916015625,56.570502281188965,94.15282273292542,True,PASS,,0.0
