step,pair_id,scope,objective,used_window_frames,timestep,actual_sigma,actual_sigma_bin,pair_weight,win_gap,lose_gap,g_w,g_l,g_l_clip,loser_dominance,health_flags,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,lambda_pref,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason
0,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00016069412231445312,-1.6093254089355469e-06,-0.000205322793558622,-1.9696539546996763e-06,-1.9696539546996763e-06,0.0,WINNER_IMPROVES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7825090289115906,0.8171994686126709,0.03469043970108032,0.7825610637664795,0.8170591592788696,0.03449809551239014,0.00021272897720336914,0.00016069412231445312,0.00013870000839233398,-1.6093254089355469e-06,0.0003514289855957031,0.00015908479690551758,0.605325644504749,1.0,0.0003514289855957031,0.00015908479690551758,0.00015908479690551758,0.0,1.0,0.005,0.5335547924041748,0.7852500677108765,0.4796156054221366,0.0025043723761761197,14.611002234735976,1e-06,34.967875957489014,56.896484375,56.52164316177368,97.74478316307068,True,PASS,
1,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,7.76052474975586e-05,-0.0001239776611328125,0.00010544951122825225,-0.00016706666094853432,-0.00016706666094853432,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.736041784286499,0.7420415878295898,0.00599980354309082,0.7359857559204102,0.7420229911804199,0.006037235260009766,-0.00013363361358642578,-7.76052474975586e-05,-0.00010538101196289062,-0.0001239776611328125,-0.0002390146255493164,-0.0002015829086303711,0.0,0.0,-0.0002390146255493164,-0.0002015829086303711,-0.0002015829086303711,0.0,1.0,0.005,0.7362378835678101,0.7396125197410583,0.6628605431650699,0.002367330298244669,14.611026377062679,1e-06,34.96790647506714,56.896484375,56.57050275802612,95.41719317436218,True,PASS,
2,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00017720460891723633,-0.0001093149185180664,-0.0002443074111882146,-0.00014957790552638006,-0.00014957790552638006,0.0,WINNER_IMPROVES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.725287139415741,0.7307822108268738,0.0054950714111328125,0.7252459526062012,0.7307679653167725,0.005522012710571289,0.0001360177993774414,0.00017720460891723633,-9.506940841674805e-05,-0.0001093149185180664,4.094839096069336e-05,6.788969039916992e-05,1.0,1.0,4.094839096069336e-05,6.788969039916992e-05,6.788969039916992e-05,0.0,1.0,0.005,0.5893867015838623,0.7282136082649231,0.5993597389348819,0.002356222201073347,14.61105084548525,1e-06,34.96790647506714,56.896484375,56.57050275802612,93.98170304298401,True,PASS,
3,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,1.5795230865478516e-05,-0.00011986494064331055,2.0061760443898735e-05,-0.0001534641149957047,-0.0001534641149957047,0.0,WINNER_WORSE,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7872132658958435,0.7810950875282288,-0.006118178367614746,0.787338137626648,0.7810017466545105,-0.006336390972137451,0.00010907649993896484,-1.5795230865478516e-05,-2.6524066925048828e-05,-0.00011986494064331055,8.255243301391602e-05,-0.00013566017150878906,1.0,0.0,8.255243301391602e-05,-0.00013566017150878906,-0.00013566017150878906,0.0,1.0,0.005,0.6166988611221313,0.7902228832244873,0.4922448230460469,0.0023152918933772785,14.611075539730066,1e-06,34.967875957489014,56.916015625,56.57050275802612,92.86675667762756,True,PASS,
4,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,1.8358230590820312e-05,3.0338764190673828e-05,2.3454075326898235e-05,3.713089862577927e-05,3.713089862577927e-05,1.0,WINNER_WORSE;LOSER_DEGRADES;LOSER_DOMINANT;CONFLICT,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7825416326522827,0.8171663880348206,0.03462475538253784,0.7827401161193848,0.8170911073684692,0.03435099124908447,0.00018012523651123047,-1.8358230590820312e-05,0.00010561943054199219,3.0338764190673828e-05,0.00028574466705322266,1.1980533599853516e-05,0.6303712974551523,0.0,0.00028574466705322266,1.1980533599853516e-05,1.1980533599853516e-05,0.0,1.0,0.005,0.6164266467094421,0.7856442332267761,0.529582042702645,0.0023241240030125003,14.61110066316383,1e-06,34.967875957489014,56.896484375,56.57050275802612,93.92930674552917,True,PASS,
5,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-1.1920928955078125e-05,-0.00025641918182373047,-1.619906687590495e-05,-0.0003455696742475287,-0.0003455696742475287,0.0,WINNER_IMPROVES,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7359557151794434,0.7420320510864258,0.006076335906982422,0.7358962297439575,0.741890549659729,0.005994319915771484,-4.756450653076172e-05,1.1920928955078125e-05,-0.00011491775512695312,-0.00025641918182373047,-0.00016248226165771484,-0.00024449825286865234,0.0,1.0,-0.00016248226165771484,-0.00024449825286865234,-0.00024449825286865234,0.0,1.0,0.005,0.7824903726577759,0.7399208545684814,0.6983521168727612,0.0023472023360799478,14.611126404512754,1e-06,34.96790647506714,56.916015625,56.57050275802612,92.90889048576355,True,PASS,
6,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00016444921493530273,5.662441253662109e-06,-0.00022671988575269613,7.747428186249627e-06,7.747428186249627e-06,0.03304267898197112,WINNER_IMPROVES;LOSER_DEGRADES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7252427935600281,0.7308341860771179,0.005591392517089844,0.7252587080001831,0.7308829426765442,0.005624234676361084,0.00018036365509033203,0.00016444921493530273,-4.309415817260742e-05,5.662441253662109e-06,0.0001372694969177246,0.00017011165618896484,1.0,0.9667133847231956,0.0001372694969177246,0.00017011165618896484,0.00017011165618896484,0.0,1.0,0.005,0.5536472201347351,0.7279254794120789,0.5910365676636892,0.0023484119668646134,14.611152495175926,1e-06,34.96790647506714,56.896484375,56.57050275802612,93.26188230514526,True,PASS,
7,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-3.713369369506836e-05,-0.00016683340072631836,-4.716564861440629e-05,-0.00021360466148148636,-0.00021360466148148636,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7871828675270081,0.7810313701629639,-0.0061514973640441895,0.7872852087020874,0.7809547781944275,-0.006330430507659912,0.00013947486877441406,3.713369369506836e-05,-9.02414321899414e-05,-0.00016683340072631836,4.9233436584472656e-05,-0.00012969970703125,1.0,1.0,4.9233436584472656e-05,-0.00012969970703125,-0.00012969970703125,0.0,1.0,0.005,0.6730552911758423,0.7905741930007935,0.52671446027797,0.002339859433779613,14.61117903736391,1e-06,34.967875957489014,56.916015625,56.57050275802612,93.08583521842957,True,PASS,
8,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00013977289199829102,-3.7789344787597656e-05,-0.00017858884094430506,-4.625141689493941e-05,-4.625141689493941e-05,0.0,WINNER_IMPROVES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7826091051101685,0.8170713186264038,0.03446221351623535,0.7825819849967957,0.817022979259491,0.03444099426269531,0.00011265277862548828,0.00013977289199829102,1.055002212524414e-05,-3.7789344787597656e-05,0.00012320280075073242,0.00010198354721069336,0.9143686502177069,1.0,0.00012320280075073242,0.00010198354721069336,0.00010198354721069336,0.0,1.0,0.005,0.48266348242759705,0.7848789691925049,0.4729288380829008,0.0023330386504684182,14.611205806960019,1e-06,34.967875957489014,56.896484375,56.57050275802612,93.23036813735962,True,PASS,
9,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,1.6033649444580078e-05,-0.0002415180206298828,2.1787331132859193e-05,-0.00032548448600243834,-0.00032548448600243834,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.735835075378418,0.7419893145561218,0.006154239177703857,0.7359241843223572,0.7419054508209229,0.005981266498565674,7.30752944946289e-05,-1.6033649444580078e-05,-0.0001576542854309082,-0.0002415180206298828,-8.45789909362793e-05,-0.0002575516700744629,1.0,0.0,-8.45789909362793e-05,-0.0002575516700744629,-0.0002575516700744629,0.0,1.0,0.005,0.7420962452888489,0.7395951747894287,0.6935202326344998,0.0023631480552435517,14.611233330567508,1e-06,34.96790647506714,56.916015625,56.57050275802612,93.93897795677185,True,PASS,
