subset,pair_id,source,failure_type,reward_margin,reviewed,local_mask_ready,medium_hard,winner_video_path,loser_video_path
all500,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,other,event_extra_objects,0.202092,True,False,True,,
all500,v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,other,event_missing_or_fragments,0.200478,True,False,True,,
all500,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,other,physical_event_fragments,0.162431,True,False,True,,
all500,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,other,containment_failure,0.171237,True,False,True,,
all500,v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,other,containment_failure,0.264709,True,False,True,,
all500,v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,other,foreground_identity_event,0.199205,True,False,True,,
all500,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,other,containment_failure,0.35277,True,False,True,,
all500,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,other,foreground_identity_extra_objects,0.196952,True,False,True,,
all500,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,other,foreground_identity_extra_objects,0.171587,True,False,True,,
all500,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,other,collision_event_failure,0.151854,True,False,True,,
all500,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,other,collision_extra_objects,0.216568,True,False,True,,
all500,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,other,roll_identity_event,0.167279,True,False,True,,
all500,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,other,roll_identity_event,0.141602,True,False,True,,
all500,v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,other,containment_extra_objects,0.183348,True,False,True,,
all500,v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,other,containment_extra_objects,0.206794,True,False,True,,
all500,v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,synthetic_controlled,background_drift_visible,0.12,True,True,True,,
all500,v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,synthetic_controlled,collision_response_failure_synthetic,0.12,True,True,True,,
all500,v11_SYN_0223_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,synthetic_controlled,containment_failure_synthetic,0.132139,True,True,True,,
all500,v11_SYN_0379_01002_drop_orbit_left_72_seed40002_drop_motion_failure_synthetic,synthetic_controlled,drop_motion_failure_synthetic,0.12,True,True,True,,
all500,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,synthetic_controlled,foreground_identity_color_shift,0.40997,True,True,True,,
all500,v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,synthetic_controlled,local_patch_drift,0.251452,True,True,True,,
all500,v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,synthetic_controlled,local_patch_freeze,0.187438,True,True,True,,
all500,v11_SYN_0387_01008_drop_orbit_left_72_seed40008_local_scene_patch_drift,synthetic_controlled,local_scene_patch_drift,0.12,True,True,True,,
all500,v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,synthetic_controlled,local_temporal_jump,0.28365,True,True,True,,
all500,v11_SYN_0038_02239_collision_strafe_left_180_seed41239_object_deformation_visible,synthetic_controlled,object_deformation_visible,0.12,True,True,True,,
all500,v11_SYN_0386_01008_drop_orbit_left_72_seed40008_object_duplicate_or_fragment,synthetic_controlled,object_duplicate_or_fragment,0.12,True,True,True,,
all500,v11_SYN_0382_01002_drop_orbit_left_72_seed40002_object_identity_color_shift,synthetic_controlled,object_identity_color_shift,0.167472,True,True,True,,
all500,v11_SYN_0389_01008_drop_orbit_left_72_seed40008_partial_freeze_foreground,synthetic_controlled,partial_freeze_foreground,0.149866,True,True,True,,
all500,v11_SYN_0224_04209_containment_orbit_left_44_seed43209_reobserve_mismatch_visible,synthetic_controlled,reobserve_mismatch_visible,0.130379,True,True,True,,
all500,v11_SYN_0487_03410_roll_orbit_right_60_seed42410_roll_event_fragment_synthetic,synthetic_controlled,roll_event_fragment_synthetic,0.133833,True,True,True,,
