step,command,exit_code,decision,status,evidence,error_reason
empty_manifest_init,DRY_RUN bash scripts/migration/init_physeditworld_empty_manifests.sh,0,PHYS_EDITWORLD_EMPTY_MANIFESTS_ALREADY_PRESENT,PASS,reports/physeditworld_50h/manifest_init/empty_manifest_init.json,
physeditworld_root_candidates_ranked,DRY_RUN bash scripts/migration/rank_physeditworld_root_candidates.sh,0,PHYS_EDITWORLD_ROOT_CANDIDATES_NONE_STRONG,BLOCKED,reports/migration/physeditworld_root_candidates_ranked.json,
physeditworld_root_schema_probe,DRY_RUN bash scripts/migration/probe_physeditworld_root_schema.sh,0,PHYS_EDITWORLD_SCHEMA_PROBE_WAITING_FOR_ROOT,BLOCKED,reports/migration/physeditworld_root_schema_probe.json,
physeditworld_selected_root_status,DRY_RUN bash scripts/migration/select_physeditworld_root.sh,0,PHYS_EDITWORLD_ROOT_SELECTION_BLOCKED_NO_ROOT,BLOCKED,reports/migration/physeditworld_selected_root_status.json,
physeditworld_root_intake,DRY_RUN bash scripts/migration/prepare_physeditworld_root_intake.sh,0,PHYS_EDITWORLD_ROOT_INTAKE_WAITING_FOR_EXTERNAL_ROOT,BLOCKED,reports/migration/physeditworld_root_intake.json,
locked_handoff_sequence,DRY_RUN bash scripts/migration/run_physeditworld_locked_handoff_sequence.sh,0,LOCKED_HANDOFF_BLOCKED_AT_ROOT_SCHEMA_PROBE,BLOCKED,reports/migration/locked_handoff_sequence.json,
physeditworld_pai_readiness,DRY_RUN bash scripts/migration/check_physeditworld_pai_readiness.sh,0,PHYS_EDIT_WORLD_ROOT_OR_MANIFEST_BLOCKED,BLOCKED,reports/migration/physeditworld_pai_readiness.json,
migration_asset_validation,DRY_RUN bash scripts/migration/validate_physeditworld_migration_assets.sh,0,MIGRATION_ASSET_VALIDATION_NAS_BLOCKED,BLOCKED,reports/migration/migration_asset_validation.json,
approved_copy_manifest_template,DRY_RUN bash scripts/migration/build_physeditworld_migration_copy_plan.sh,0,COPY_PLAN_REVIEW_REQUIRED,REVIEW_REQUIRED,reports/migration/approved_copy_manifest_template.json,
approved_copy_status,DRY_RUN bash scripts/migration/run_approved_migration_copy.sh,0,APPROVED_COPY_BLOCKED_NO_APPROVED_ROWS,BLOCKED,reports/migration/approved_copy_status.json,
pai_handoff_status,DRY_RUN bash scripts/migration/verify_pai_physeditworld_handoff.sh,0,PAI_HANDOFF_BLOCKED_NAS_OR_ROOT,BLOCKED,reports/migration/pai_handoff_status.json,
backend_readiness,DRY_RUN python3 -m cam_physgeo.orchestration.physeditworld_backend_readiness,0,PHYS_EDITWORLD_BACKEND_BLOCKED_SCAFFOLD_ONLY,BLOCKED,reports/physeditworld_50h/backend_readiness/backend_readiness.json,
requirement_matrix,DRY_RUN python3 -m cam_physgeo.orchestration.physeditworld_requirement_matrix,0,PHYS_EDIT_WORLD_PIPELINE_BLOCKED_AT_MIGRATION_READINESS,BLOCKED,reports/physeditworld_50h/requirement_matrix.json,
pipeline_gate_status,DRY_RUN python3 -m cam_physgeo.orchestration.physeditworld_pipeline_gate,0,PIPELINE_BLOCKED_AT_ROOT_SCHEMA_PROBE,BLOCKED,reports/physeditworld_50h/pipeline_gate/pipeline_gate_status.json,
