phase,requirement,status,evidence,detail,next_action
0_prd,PRD exists,PASS,docs/experiments/EXP_physeditworld_50h_prompt_gravity_lingbotfast.md,file exists,
0_prd,status doc exists,PASS,docs/physeditworld_50h_current_status.md,file exists,
0_migration,environment export,PASS,reports/migration/environment_no_builds.yml,file exists,
0_migration,pip freeze export,PASS,reports/migration/pip_freeze.txt,file exists,
0_migration,migration audit collector wrapper,PASS,scripts/migration/collect_physeditworld_migration_audit_bundle.sh,file exists,
0_migration,required weights manifest,PASS,reports/migration/required_weights_manifest.tsv,file exists,
0_migration,required data manifest,PASS,reports/migration/required_data_manifest.tsv,file exists,
0_migration,rsync dry-run script,PASS,scripts/migration/rsync_h20_to_pai_dryrun.sh,file exists,
0_migration,guarded rsync execute script,PASS,scripts/migration/rsync_h20_to_pai_execute.sh,file exists,
0_migration,explicit copy-plan template,PASS,reports/migration/approved_copy_manifest_template.tsv,file exists,
0_migration,PAI bootstrap restore entrypoint,PASS,scripts/migration/bootstrap_pai_physeditworld.sh,file exists,
0_migration,PAI bootstrap operator guide,PASS,docs/physeditworld_50h_pai_bootstrap.md,file exists,
0_migration,PAI restore-packet wrapper,PASS,scripts/migration/run_physeditworld_pai_restore_packet.sh,file exists,
0_migration,post-mount continuation wrapper,PASS,scripts/continue_physeditworld_after_mount.sh,file exists,
0_migration,PAI restore-packet summary,PASS,reports/migration/pai_restore_packet.md,file exists,
0_migration,external unblock-packet wrapper,PASS,scripts/migration/write_physeditworld_external_unblock_packet.sh,file exists,
0_migration,external unblock-packet summary,PASS,reports/migration/physeditworld_external_unblock_packet.md,file exists,
0_migration,H20 read-only migration audit bundle,PASS,reports/migration/migration_audit_bundle.json,decision=MIGRATION_AUDIT_BUNDLE_READY,
0_migration,expected empty manifest placeholders,PASS,reports/physeditworld_50h/manifest_init/empty_manifest_init.json,decision=PHYS_EDITWORLD_EMPTY_MANIFESTS_ALREADY_PRESENT,
0_migration,PAI/NAS and data readiness,BLOCKED,reports/migration/physeditworld_pai_readiness.json,decision=PHYS_EDIT_WORLD_ROOT_OR_MANIFEST_BLOCKED,mount NAS and selected PhysEditWorld 50h root
0_migration,PhysEditWorld root candidate ranking,BLOCKED,reports/migration/physeditworld_root_candidates_ranked.json,decision=PHYS_EDITWORLD_ROOT_CANDIDATES_NONE_STRONG,provide selected PhysEditWorld root via PHYS_EDITWORLD_ROOTS and rerun root candidate ranker
0_migration,selected-root schema probe,BLOCKED,reports/migration/physeditworld_root_schema_probe.json,decision=PHYS_EDITWORLD_SCHEMA_PROBE_WAITING_FOR_ROOT,provide a selected root with action/camera/intrinsics/gravity/replay/video evidence and rerun schema probe
0_migration,PhysEditWorld selected-root lock,BLOCKED,reports/migration/physeditworld_selected_root_status.json,decision=PHYS_EDITWORLD_ROOT_SELECTION_BLOCKED_NO_ROOT,set PHYS_EDITWORLD_ROOTS to a strong root and rerun selected-root verifier
0_migration,locked handoff sequence,BLOCKED,reports/migration/locked_handoff_sequence.json,decision=LOCKED_HANDOFF_BLOCKED_AT_ROOT_SCHEMA_PROBE,rerun locked handoff after NAS/root/schema gates are satisfied
0_migration,migration asset validation,BLOCKED,reports/migration/migration_asset_validation.json,decision=MIGRATION_ASSET_VALIDATION_NAS_BLOCKED,mount NAS and rerun migration asset validation before execute copy
