condition_id,sample_id,template,camera_motion,prefix_video_path,gt_future_video_path,gt_full_video_path,source_manifest,source_pair_id,fps,height,width
v7_001_02200_collision_orbit_right_64_seed41200,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,16.0,480,832
v7_002_02202_collision_orbit_right_64_seed41202,02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02202_collision_orbit_right_64_seed41202/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02202_collision_orbit_right_64_seed41202/full_clean_0_80.mp4,local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,16.0,480,832
v7_003_02222_collision_orbit_right_64_seed41222,02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02222_collision_orbit_right_64_seed41222/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02222_collision_orbit_right_64_seed41222/full_clean_0_80.mp4,local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,16.0,480,832
v7_004_02226_collision_orbit_right_64_seed41226,02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02226_collision_orbit_right_64_seed41226/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02226_collision_orbit_right_64_seed41226/full_clean_0_80.mp4,local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,protocol_v1_A_034_02226_collision_orbit_right_64_seed41226_partial_freeze,16.0,480,832
v7_005_prefix5_anchored_1128e39109fc83_object_deformation,prefix5_anchored_1128e39109fc83_object_deformation,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_1128e39109fc83_object_deformation,16.0,480,832
v7_006_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,16.0,480,832
v7_007_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,16.0,480,832
v7_008_prefix5_anchored_525c18bc4422f0_background_drift,prefix5_anchored_525c18bc4422f0_background_drift,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_525c18bc4422f0_background_drift,16.0,480,832
v7_009_prefix5_anchored_7f708dfe212ad6_freeze_foreground,prefix5_anchored_7f708dfe212ad6_freeze_foreground,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_7f708dfe212ad6_freeze_foreground,16.0,480,832
v7_010_prefix5_anchored_b53591379e11c1_object_deformation,prefix5_anchored_b53591379e11c1_object_deformation,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_b53591379e11c1_object_deformation,16.0,480,832
v7_011_prefix5_anchored_e78653865b3413_wrong_camera_motion,prefix5_anchored_e78653865b3413_wrong_camera_motion,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_e78653865b3413_wrong_camera_motion,16.0,480,832
v7_012_prefix5_anchored_ebade3740fe2f4_object_identity_change,prefix5_anchored_ebade3740fe2f4_object_identity_change,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_ebade3740fe2f4_object_identity_change,16.0,480,832
v7_013_prefix5_anchored_ede413792fce8b_nonrigid_background_warp,prefix5_anchored_ede413792fce8b_nonrigid_background_warp,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_ede413792fce8b_nonrigid_background_warp,16.0,480,832
v7_014_prefix5_anchored_ff65f1ae3e7ca8_background_drift,prefix5_anchored_ff65f1ae3e7ca8_background_drift,collision,orbit_right_64,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_ff65f1ae3e7ca8_background_drift,16.0,480,832
v7_015_04204_containment_orbit_left_44_seed43204,04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,protocol_v1_A_045_04204_containment_orbit_left_44_seed43204_object_deformation_local,16.0,480,832
v7_016_prefix5_anchored_1279c3b65a6d9e_object_identity_change,prefix5_anchored_1279c3b65a6d9e_object_identity_change,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_1279c3b65a6d9e_object_identity_change,16.0,480,832
v7_017_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch,prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch,16.0,480,832
v7_018_prefix5_anchored_95981b8f74bed0_background_drift,prefix5_anchored_95981b8f74bed0_background_drift,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_95981b8f74bed0_background_drift,16.0,480,832
v7_019_prefix5_anchored_d744c2d6f264ba_object_deformation,prefix5_anchored_d744c2d6f264ba_object_deformation,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_d744c2d6f264ba_object_deformation,16.0,480,832
v7_020_prefix5_anchored_d86ae2fb1d25b2_freeze_foreground,prefix5_anchored_d86ae2fb1d25b2_freeze_foreground,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_d86ae2fb1d25b2_freeze_foreground,16.0,480,832
v7_021_prefix5_anchored_dc458b2cf487d8_wrong_camera_motion,prefix5_anchored_dc458b2cf487d8_wrong_camera_motion,containment,orbit_left_44,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/04204_containment_orbit_left_44_seed43204/full_clean_0_80.mp4,local_assets/stageA_v2v5_20260627/rollouts/final/selected_manifest.jsonl,prefix5_anchored_dc458b2cf487d8_wrong_camera_motion,16.0,480,832
