model_key,failure_or_reject_tag,count
A_camera_r4,no_new_clear_medium_hard_visual_advantage,48
A_camera_r4,sharpness_or_freeze_gate_failed,27
B_camera_r8,no_new_clear_medium_hard_visual_advantage,48
B_camera_r8,sharpness_or_freeze_gate_failed,23
C_camera_self_temporal_r4,no_new_clear_medium_hard_visual_advantage,48
C_camera_self_temporal_r4,sharpness_or_freeze_gate_failed,25
D_camera_cross_r4,no_new_clear_medium_hard_visual_advantage,48
D_camera_cross_r4,sharpness_or_freeze_gate_failed,21
original_fast,no_new_clear_medium_hard_visual_advantage,16
original_fast,sharpness_or_freeze_gate_failed,9
