sample_id,condition_id,template,camera_motion,model_key,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,R_bg,R_cam,R_fg,R_phys,R_reobs,R_quality_proxy,P_freeze_proxy,P_blur_proxy,R_total_proxy,reward_backend
02200_collision_orbit_right_64_seed41200,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M0_original_fast,76,16.986570,0.886226,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,159.350531,133.584320,1187.897227,0.134145,2.462487,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.206377,0.000000,0.793623,0.739019,diagnostic_proxy_not_training_reward
02200_collision_orbit_right_64_seed41200,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M_B_camera_r8,76,16.462586,0.871272,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,144.657317,139.987710,1187.897227,0.121776,2.880071,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.187348,0.000000,0.812652,0.726037,diagnostic_proxy_not_training_reward
02200_collision_orbit_right_64_seed41200,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M_C_camera_self_temporal_r4,76,17.011192,0.885893,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,161.260073,139.785000,1187.897227,0.135753,2.481086,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.208850,0.000000,0.791150,0.739454,diagnostic_proxy_not_training_reward
02202_collision_orbit_right_64_seed41202,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M0_original_fast,76,16.961862,0.751315,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,51.370623,31.609780,1194.650325,0.043001,2.784762,0.026667,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.066155,0.026667,0.933845,0.624428,diagnostic_proxy_not_training_reward
02202_collision_orbit_right_64_seed41202,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M_B_camera_r8,76,16.965778,0.751069,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,53.225424,39.328954,1194.650325,0.044553,2.754064,0.026667,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.068543,0.026667,0.931457,0.624891,diagnostic_proxy_not_training_reward
02202_collision_orbit_right_64_seed41202,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M_C_camera_self_temporal_r4,76,17.171751,0.756827,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,58.095900,36.618257,1194.650325,0.048630,2.427316,0.080000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.074815,0.080000,0.925185,0.618959,diagnostic_proxy_not_training_reward
02222_collision_orbit_right_64_seed41222,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M0_original_fast,76,14.388614,0.814392,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,108.770083,94.466359,928.438991,0.117154,4.089892,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.180236,0.000000,0.819764,0.692975,diagnostic_proxy_not_training_reward
02222_collision_orbit_right_64_seed41222,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M_B_camera_r8,76,14.553932,0.818779,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,122.280844,116.814851,928.438991,0.131706,4.121626,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.202624,0.000000,0.797376,0.700984,diagnostic_proxy_not_training_reward
02222_collision_orbit_right_64_seed41222,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M_C_camera_self_temporal_r4,76,14.648147,0.822610,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,114.735641,109.857848,928.438991,0.123579,4.215633,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.190122,0.000000,0.809878,0.699966,diagnostic_proxy_not_training_reward
02226_collision_orbit_right_64_seed41226,v6_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,M0_original_fast,76,17.052668,0.874722,BLOCKED_BY_ENV: lpips unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available,BLOCKED_BY_ENV: no local VBench evaluator/weights available,84.855311,54.861523,1154.830831,0.073479,3.352197,0.000000,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,visual_proxy_pending,0.113044,0.000000,0.886956,0.709358,diagnostic_proxy_not_training_reward
