sample_id,condition_id,template,camera_motion,model_key,model_label,adapter_path,adapter_exists,generated_full,generated_future,prefix_video,gt_future,contact_sheet,exists_future,exists_contact_sheet,rollout_set,file_size_mb,fps,width,height,num_frames
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01002_drop_orbit_left_72_seed40002_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01002_drop_orbit_left_72_seed40002_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01002_drop_orbit_left_72_seed40002_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01002_drop_orbit_left_72_seed40002_M0_original_fast_prefix_future.jpg,True,True,first16,2.157,16.0,832,480,76
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M_B_camera_r8,B camera-only rank8,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_B_camera_r8_train200_20260624_141215/checkpoints/small_lora_B_camera_r8_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01002_drop_orbit_left_72_seed40002_M_B_camera_r8.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01002_drop_orbit_left_72_seed40002_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01002_drop_orbit_left_72_seed40002_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01002_drop_orbit_left_72_seed40002_M_B_camera_r8_prefix_future.jpg,True,True,first16,2.149,16.0,832,480,76
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M_C_camera_self_temporal_r4,C camera+self/temporal rank4,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_C_camera_self_r4_train200_20260624_141215/checkpoints/small_lora_C_camera_self_r4_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01002_drop_orbit_left_72_seed40002_M_C_camera_self_temporal_r4.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01002_drop_orbit_left_72_seed40002_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01002_drop_orbit_left_72_seed40002_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01002_drop_orbit_left_72_seed40002_M_C_camera_self_temporal_r4_prefix_future.jpg,True,True,first16,2.175,16.0,832,480,76
01008_drop_orbit_left_72_seed40008,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01008_drop_orbit_left_72_seed40008_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01008_drop_orbit_left_72_seed40008_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01008_drop_orbit_left_72_seed40008_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01008_drop_orbit_left_72_seed40008_M0_original_fast_prefix_future.jpg,True,True,first16,3.076,16.0,832,480,76
01008_drop_orbit_left_72_seed40008,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,M_B_camera_r8,B camera-only rank8,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_B_camera_r8_train200_20260624_141215/checkpoints/small_lora_B_camera_r8_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01008_drop_orbit_left_72_seed40008_M_B_camera_r8.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01008_drop_orbit_left_72_seed40008_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01008_drop_orbit_left_72_seed40008_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01008_drop_orbit_left_72_seed40008_M_B_camera_r8_prefix_future.jpg,True,True,first16,3.721,16.0,832,480,76
01008_drop_orbit_left_72_seed40008,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,M_C_camera_self_temporal_r4,C camera+self/temporal rank4,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_C_camera_self_r4_train200_20260624_141215/checkpoints/small_lora_C_camera_self_r4_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01008_drop_orbit_left_72_seed40008_M_C_camera_self_temporal_r4.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01008_drop_orbit_left_72_seed40008_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01008_drop_orbit_left_72_seed40008_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01008_drop_orbit_left_72_seed40008_M_C_camera_self_temporal_r4_prefix_future.jpg,True,True,first16,3.157,16.0,832,480,76
01013_drop_orbit_left_72_seed40013,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01013_drop_orbit_left_72_seed40013_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01013_drop_orbit_left_72_seed40013_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01013_drop_orbit_left_72_seed40013_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01013_drop_orbit_left_72_seed40013_M0_original_fast_prefix_future.jpg,True,True,first16,3.412,16.0,832,480,76
01013_drop_orbit_left_72_seed40013,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,M_B_camera_r8,B camera-only rank8,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_B_camera_r8_train200_20260624_141215/checkpoints/small_lora_B_camera_r8_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01013_drop_orbit_left_72_seed40013_M_B_camera_r8.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01013_drop_orbit_left_72_seed40013_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01013_drop_orbit_left_72_seed40013_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01013_drop_orbit_left_72_seed40013_M_B_camera_r8_prefix_future.jpg,True,True,first16,3.543,16.0,832,480,76
01013_drop_orbit_left_72_seed40013,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,M_C_camera_self_temporal_r4,C camera+self/temporal rank4,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_C_camera_self_r4_train200_20260624_141215/checkpoints/small_lora_C_camera_self_r4_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01013_drop_orbit_left_72_seed40013_M_C_camera_self_temporal_r4.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01013_drop_orbit_left_72_seed40013_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01013_drop_orbit_left_72_seed40013_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01013_drop_orbit_left_72_seed40013_M_C_camera_self_temporal_r4_prefix_future.jpg,True,True,first16,3.257,16.0,832,480,76
01014_drop_orbit_left_72_seed40014,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01014_drop_orbit_left_72_seed40014_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01014_drop_orbit_left_72_seed40014_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01014_drop_orbit_left_72_seed40014_prefix.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01014_drop_orbit_left_72_seed40014_M0_original_fast_prefix_future.jpg,True,True,first16,2.806,16.0,832,480,76
