manifest_path,total_rows,read_error,prefix_exists,image_exists,gt_full_exists,gt_future_exists,target_exists,prompt_exists_or_text,poses_exists,intrinsics_exists,runnable,can_cut_prefix_future,template_distribution,camera_motion_distribution,path_root_type
local_assets/dpo_preference_protocol_v1/manifests/dpo_preference_protocol_v1_pairs.jsonl,66,,66,50,66,66,66,50,50,50,50,50,"{""collision"": 54, ""containment"": 12}","{""orbit_left_44"": 12, ""orbit_right_64"": 54}","{""local_assets"": 198}"
local_assets/dpo_prefix5_pairs_20260627_031729/manifests/anchored_dpo_probe_pairs_prefix5.jsonl,50,,50,50,50,50,50,50,50,50,50,50,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}","{""local_assets"": 150}"
local_assets/dpo_probe_v2v5_20260627/screen16_chunks/chunk_00.jsonl,4,,4,4,4,4,4,4,4,4,4,4,"{""collision"": 4}","{""orbit_right_64"": 4}","{""local_assets"": 12}"
local_assets/dpo_probe_v2v5_20260627/screen16_chunks/chunk_01.jsonl,4,,4,4,4,4,4,4,4,4,4,4,"{""collision"": 4}","{""orbit_right_64"": 4}","{""local_assets"": 12}"
local_assets/dpo_probe_v2v5_20260627/screen16_chunks/chunk_02.jsonl,4,,4,4,4,4,4,4,4,4,4,4,"{""containment"": 4}","{""orbit_left_44"": 4}","{""local_assets"": 12}"
local_assets/dpo_probe_v2v5_20260627/screen16_chunks/chunk_03.jsonl,4,,4,4,4,4,4,4,4,4,4,4,"{""collision"": 2, ""containment"": 2}","{""orbit_left_44"": 2, ""orbit_right_64"": 2}","{""local_assets"": 12}"
local_assets/eval_metrics_20260627_005649/manifests/quant_benchmark_v1_all.jsonl,80,,0,80,80,0,80,80,80,80,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{"""": 80}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/anchored_pairs/anchored_dpo_probe_pairs.jsonl,50,,0,50,50,0,50,50,50,50,0,50,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}","{"""": 50}"
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/anchored_pairs/rejected_pairs.jsonl,0,,0,0,0,0,0,0,0,0,0,0,{},{},{}
local_assets/overnight_quant_lora_dpo_20260624_overnight_test/quant_benchmark_v1_full80/camera_breakdown.csv,15,,0,0,0,0,0,0,0,0,0,0,{},"{""orbit_left_44"": 3, ""orbit_left_72"": 3, ""orbit_right_60"": 3, ""orbit_right_64"": 3, ""strafe_left_180"": 3}",{}
