sample_id,condition_id,template,camera_motion,model_key,status,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,pixel_l1,local_absdiff_p95,R_quality_proxy,P_blur_proxy,P_freeze_proxy,R_total_proxy
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M0_original_fast,ok,16,14.612855,0.662127,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,794.038782,652.084861,543.934244,1.459807,11.354177,0.0,0.119455,0.411765,1,0,0.0,0.689405
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M_B_camera_r8,ok,16,14.558153,0.660487,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,799.762805,657.167778,543.934244,1.47033,11.048538,0.0,0.120092,0.423529,1,0,0.0,0.688148
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M_C_camera_self_temporal_r4,ok,16,14.461153,0.652804,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,827.582479,656.687883,543.934244,1.521475,11.710092,0.0,0.121067,0.431373,1,0,0.0,0.684246
01008_drop_orbit_left_72_seed40008,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,M0_original_fast,ok,16,14.846897,0.753487,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1137.742681,1129.015877,889.134117,1.279607,12.427896,0.0,0.117121,0.443137,1,0,0.0,0.724307
01008_drop_orbit_left_72_seed40008,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,M_B_camera_r8,ok,16,15.012917,0.758688,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1513.874568,1307.697736,889.134117,1.702639,13.696801,0.0,0.115412,0.415686,1,0,0.0,0.728202
01008_drop_orbit_left_72_seed40008,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,M_C_camera_self_temporal_r4,ok,16,14.875466,0.753171,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1174.849449,1165.050838,889.134117,1.321341,12.582249,0.0,0.116293,0.443137,1,0,0.0,0.724553
01013_drop_orbit_left_72_seed40013,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,M0_original_fast,ok,16,14.071976,0.738363,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1415.099487,1245.917105,876.624432,1.61426,14.588711,0.0,0.130258,0.47451,1,0,0.0,0.709327
01013_drop_orbit_left_72_seed40013,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,M_B_camera_r8,ok,16,14.697618,0.762126,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1425.356967,1168.708675,876.624432,1.625961,13.378228,0.0,0.120349,0.447059,1,0,0.0,0.725464
01013_drop_orbit_left_72_seed40013,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,M_C_camera_self_temporal_r4,ok,16,15.177351,0.788816,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1164.388992,1116.438266,876.624432,1.328264,12.702505,0.0,0.115399,0.403922,1,0,0.0,0.740803
01014_drop_orbit_left_72_seed40014,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,M0_original_fast,ok,16,14.912324,0.811931,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,808.603262,725.498193,778.347245,1.038872,15.359293,0.0,0.125176,0.368627,1,0,0.0,0.74558
