condition_id,sample_id,template,camera_motion,prefix_video_path,gt_future_video_path,gt_full_video_path,prefix_decodable,prefix_frames,future_decodable,future_frames,full_decodable,full_frames,poses_exists,poses_finite,intrinsics_exists,intrinsics_finite,prompt_nonempty,image_exists,runnable,status,reason
v6b_01002_drop_orbit_left_72_seed40002,01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01002_drop_orbit_left_72_seed40002/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01008_drop_orbit_left_72_seed40008,01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01008_drop_orbit_left_72_seed40008/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01013_drop_orbit_left_72_seed40013,01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01013_drop_orbit_left_72_seed40013/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01014_drop_orbit_left_72_seed40014,01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01014_drop_orbit_left_72_seed40014/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01026_drop_orbit_left_72_seed40026,01026_drop_orbit_left_72_seed40026,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01026_drop_orbit_left_72_seed40026/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01026_drop_orbit_left_72_seed40026/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01026_drop_orbit_left_72_seed40026/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01029_drop_orbit_left_72_seed40029,01029_drop_orbit_left_72_seed40029,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01029_drop_orbit_left_72_seed40029/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01032_drop_orbit_left_72_seed40032,01032_drop_orbit_left_72_seed40032,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01032_drop_orbit_left_72_seed40032/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_01038_drop_orbit_left_72_seed40038,01038_drop_orbit_left_72_seed40038,drop,orbit_left_72,local_assets/targeted_BC_loser_mining_v6b/conditions/01038_drop_orbit_left_72_seed40038/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01038_drop_orbit_left_72_seed40038/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01038_drop_orbit_left_72_seed40038/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02200_collision_orbit_right_64_seed41200,02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02200_collision_orbit_right_64_seed41200/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02202_collision_orbit_right_64_seed41202,02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02202_collision_orbit_right_64_seed41202/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02202_collision_orbit_right_64_seed41202/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
v6b_02222_collision_orbit_right_64_seed41222,02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,local_assets/targeted_BC_loser_mining_v6b/conditions/02222_collision_orbit_right_64_seed41222/prefix_len5.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02222_collision_orbit_right_64_seed41222/video.mp4,True,5,True,76,True,81,True,True,True,True,True,True,True,ok,
