sample_id,model_key,condition_id,template,camera_motion,seed,background_stability,camera_following,foreground_identity,object_deformation,physical_event,reobserve,freeze,visual_quality,sharpness_ok,too_blurry,too_collapsed,too_similar_to_gt,medium_hard_loser_candidate,failure_tags,written_reason,contact_sheet,generated_future,gt_future,R_total_proxy,PSNR,SSIM_global_proxy,sharpness_ratio_to_gt
01002_drop_orbit_left_72_seed40002,M0_original_fast,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,40002,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01002_drop_orbit_left_72_seed40002_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01002_drop_orbit_left_72_seed40002_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,0.689405,14.612855,0.662127,1.459807
01002_drop_orbit_left_72_seed40002,M_B_camera_r8,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,40002,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01002_drop_orbit_left_72_seed40002_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01002_drop_orbit_left_72_seed40002_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,0.688148,14.558153,0.660487,1.47033
01002_drop_orbit_left_72_seed40002,M_C_camera_self_temporal_r4,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,40002,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01002_drop_orbit_left_72_seed40002_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01002_drop_orbit_left_72_seed40002_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01002_drop_orbit_left_72_seed40002/clean_future_5_80.mp4,0.684246,14.461153,0.652804,1.521475
01008_drop_orbit_left_72_seed40008,M0_original_fast,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,40008,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01008_drop_orbit_left_72_seed40008_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01008_drop_orbit_left_72_seed40008_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,0.724307,14.846897,0.753487,1.279607
01008_drop_orbit_left_72_seed40008,M_B_camera_r8,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,40008,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01008_drop_orbit_left_72_seed40008_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01008_drop_orbit_left_72_seed40008_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,0.728202,15.012917,0.758688,1.702639
01008_drop_orbit_left_72_seed40008,M_C_camera_self_temporal_r4,v6b_01008_drop_orbit_left_72_seed40008,drop,orbit_left_72,40008,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01008_drop_orbit_left_72_seed40008_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01008_drop_orbit_left_72_seed40008_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01008_drop_orbit_left_72_seed40008/clean_future_5_80.mp4,0.724553,14.875466,0.753171,1.321341
01013_drop_orbit_left_72_seed40013,M0_original_fast,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,40013,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01013_drop_orbit_left_72_seed40013_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01013_drop_orbit_left_72_seed40013_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,0.709327,14.071976,0.738363,1.61426
01013_drop_orbit_left_72_seed40013,M_B_camera_r8,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,40013,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01013_drop_orbit_left_72_seed40013_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01013_drop_orbit_left_72_seed40013_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,0.725464,14.697618,0.762126,1.625961
01013_drop_orbit_left_72_seed40013,M_C_camera_self_temporal_r4,v6b_01013_drop_orbit_left_72_seed40013,drop,orbit_left_72,40013,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01013_drop_orbit_left_72_seed40013_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01013_drop_orbit_left_72_seed40013_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01013_drop_orbit_left_72_seed40013/clean_future_5_80.mp4,0.740803,15.177351,0.788816,1.328264
01014_drop_orbit_left_72_seed40014,M0_original_fast,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,40014,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/01014_drop_orbit_left_72_seed40014_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/01014_drop_orbit_left_72_seed40014_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,0.74558,14.912324,0.811931,1.038872
